 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         6.7         6.7        1.01
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         6.8         6.7        1.01
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         6.8         6.6        1.02
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         6.1         6.2        0.98
10000000 / 1095696       0        strings         sorted          17          15     1095695     1095695       159.2       146.4        1.09
10000000 / 1095696       0        strings reverse_sorted           3           3     7980429     9015072        20.1        18.1        1.11
     10 /      48       2       sawtooth          ident      547482      390280         186         182       213.5       151.5        1.41
     10 /      48       2       sawtooth        reverse      524527      378088         206         201       204.3       146.7        1.39
     10 /      48       2       sawtooth  reverse_front      522238      381049         196         192       204.1       147.8        1.38
     10 /      48       2       sawtooth   reverse_back      519274      379061         196         191       202.2       147.0        1.38
     10 /      48       2       sawtooth         sorted     2483781     1788373          47          47      1027.9       721.8        1.42
     10 /      48       2       sawtooth reverse_sorted     2122441      987943          49          71       864.1       390.8        2.21
     10 /      48       2       sawtooth         dither      470503      379491         186         182       183.0       149.2        1.23
     10 /      48       2           rand          ident      426987      309264         250         266       165.9       119.7        1.39
     10 /      48       2           rand        reverse      412909      321355         278         250       160.5       124.5        1.29
     10 /      48       2           rand  reverse_front      425355      306089         257         271       165.3       118.5        1.39
     10 /      48       2           rand   reverse_back      425924      316113         271         264       165.4       122.5        1.35
     10 /      48       2           rand         sorted     2410825     1800151          47          47       990.0       726.7        1.36
     10 /      48       2           rand reverse_sorted     2062818     1689356          47          47       839.5       679.5        1.24
     10 /      48       2           rand         dither      445252      341956         222         240       173.0       132.5        1.31
     10 /      48       2        stagger          ident      504712      549017         175         124       196.5       214.0        0.92
     10 /      48       2        stagger        reverse      539840      524881         140         124       210.4       204.4        1.03
     10 /      48       2        stagger  reverse_front      492171      505531         178         131       191.5       196.8        0.97
     10 /      48       2        stagger   reverse_back      543142      451484         136         154       211.6       175.7        1.20
     10 /      48       2        stagger         sorted     2444650     1784796          47          47      1007.0       720.0        1.40
     10 /      48       2        stagger reverse_sorted      708161      343816         258         285       277.3       134.0        2.07
     10 /      48       2        stagger         dither      442556      319109         250         251       172.0       123.6        1.39
     10 /      48       2        plateau          ident     2519780     1800673          47          47      1037.6       726.4        1.43
     10 /      48       2        plateau        reverse     2119823      726374          49         107       864.0       284.5        3.04
     10 /      48       2        plateau  reverse_front     1973768      650863          49         101       800.2       255.1        3.14
     10 /      48       2        plateau   reverse_back     2516295     1793481          47          47      1036.6       723.4        1.43
     10 /      48       2        plateau         sorted     2471929     1798006          47          47      1018.1       725.3        1.40
     10 /      48       2        plateau reverse_sorted     1645261      678396          49         107       661.5       266.1        2.49
     10 /      48       2        plateau         dither     2462900     1786376          47          47      1013.9       720.4        1.41
     10 /      48       2        shuffle          ident      643559      507159         152         146       251.5       197.4        1.27
     10 /      48       2        shuffle        reverse      478360      349043         278         262       186.1       135.3        1.38
     10 /      48       2        shuffle  reverse_front      529968      364598         238         216       206.4       141.4        1.46
     10 /      48       2        shuffle   reverse_back      575288      423163         191         191       224.4       164.4        1.37
     10 /      48       2        shuffle         sorted     2426739     1785837          47          47       998.1       720.8        1.38
     10 /      48       2        shuffle reverse_sorted      647456      349555         273         293       253.1       135.5        1.87
     10 /      48       2        shuffle         dither      424566      322476         264         256       165.0       124.9        1.32
     10 /      96       4       sawtooth          ident      199942      151893         506         537       154.9       117.4        1.32
     10 /      96       4       sawtooth        reverse      183923      147643         602         560       142.4       114.1        1.25
     10 /      96       4       sawtooth  reverse_front      191150      149216         554         544       148.1       115.3        1.28
     10 /      96       4       sawtooth   reverse_back      189512      149858         554         553       146.7       115.8        1.27
     10 /      96       4       sawtooth         sorted     1892365     1269547          95          95      1581.6      1031.1        1.53
     10 /      96       4       sawtooth reverse_sorted     1393824      428438         100         191      1139.8       335.2        3.40
     10 /      96       4       sawtooth         dither      198834      152514         506         537       154.0       117.9        1.31
     10 /      96       4           rand          ident      175332      137559         636         606       135.7       106.3        1.28
     10 /      96       4           rand        reverse      176393      141000         616         588       136.6       108.9        1.25
     10 /      96       4           rand  reverse_front      175855      136658         590         600       136.1       105.6        1.29
     10 /      96       4           rand   reverse_back      173902      141026         662         601       134.6       109.0        1.23
     10 /      96       4           rand         sorted     1538273     1195323          95          95      1268.0       972.2        1.30
     10 /      96       4           rand reverse_sorted     1394925     1108814          95          95      1139.7       894.5        1.27
     10 /      96       4           rand         dither      177083      139381         641         582       137.1       107.7        1.27
     10 /      96       4        stagger          ident      200262      209218         430         338       155.1       162.2        0.96
     10 /      96       4        stagger        reverse      206961      227337         385         319       160.4       176.3        0.91
     10 /      96       4        stagger  reverse_front      198357      213637         456         339       153.6       165.8        0.93
     10 /      96       4        stagger   reverse_back      217503      215986         359         339       168.6       167.4        1.01
     10 /      96       4        stagger         sorted     1876308     1267892          95          95      1570.1      1032.4        1.52
     10 /      96       4        stagger reverse_sorted     1393471     1103529          95          95      1138.1       890.8        1.28
     10 /      96       4        stagger         dither      287868      344247         332         229       223.9       268.3        0.83
     10 /      96       4        plateau          ident     1915838     1231192          95          95      1606.2      1002.6        1.60
     10 /      96       4        plateau        reverse     1623114      457321          97         207      1340.4       358.2        3.74
     10 /      96       4        plateau  reverse_front     1578894      418425          97         205      1300.4       327.2        3.97
     10 /      96       4        plateau   reverse_back     1919151     1264777          95          95      1608.0      1026.9        1.57
     10 /      96       4        plateau         sorted     1898100     1262746          95          95      1590.4      1025.2        1.55
     10 /      96       4        plateau reverse_sorted     1606495      452804          97         207      1325.8       354.7        3.74
     10 /      96       4        plateau         dither     1876705     1225541          95          95      1581.2       994.7        1.59
     10 /      96       4        shuffle          ident      261135      220391         387         354       202.9       170.9        1.19
     10 /      96       4        shuffle        reverse      206526      159853         643         548       160.0       123.6        1.29
     10 /      96       4        shuffle  reverse_front      232819      176984         502         462       180.6       137.0        1.32
