 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21503289    22091431         6.6         6.5        1.02
10000000 / 1095696       0        strings        reverse           1           1    21490398    21963570         6.0         5.9        1.00
10000000 / 1095696       0        strings  reverse_front           1           1    21499173    22252152         6.5         6.6        1.00
10000000 / 1095696       0        strings   reverse_back           1           1    21494514    21661839         6.6         6.6        1.00
10000000 / 1095696       0        strings         sorted          16          13     1095695     1095695       151.0       122.2        1.24
10000000 / 1095696       0        strings reverse_sorted           2           2     7994865     9015072        16.7        10.7        1.57
     10 /      48       2       sawtooth          ident      501923      385987         186         182       199.4       150.4        1.33
     10 /      48       2       sawtooth        reverse      474681      294902         206         201       185.6       114.6        1.62
     10 /      48       2       sawtooth  reverse_front      510283      365841         196         192       199.8       142.5        1.40
     10 /      48       2       sawtooth   reverse_back      516460      375981         196         191       202.3       146.4        1.38
     10 /      48       2       sawtooth         sorted     2510291     1792363          47          47      1065.0       737.9        1.44
     10 /      48       2       sawtooth reverse_sorted     2182984     1029986          49          71       912.3       411.3        2.22
     10 /      48       2       sawtooth         dither      530051      392757         186         182       207.6       153.0        1.36
     10 /      48       2           rand          ident      414146      307609         250         266       161.5       119.5        1.35
     10 /      48       2           rand        reverse      388948      314810         278         250       151.6       122.3        1.24
     10 /      48       2           rand  reverse_front      407736      311614         257         271       159.0       121.1        1.31
     10 /      48       2           rand   reverse_back      398236      305118         271         264       155.3       118.5        1.31
     10 /      48       2           rand         sorted     2505038     1827162          47          47      1062.3       753.3        1.41
     10 /      48       2           rand reverse_sorted     2093933     1646727          47          47       872.3       674.7        1.29
     10 /      48       2           rand         dither      445239      336401         222         240       174.1       130.8        1.33
     10 /      48       2        stagger          ident      505154      546167         176         124       197.7       214.2        0.92
     10 /      48       2        stagger        reverse      516150      528610         141         124       202.2       207.0        0.98
     10 /      48       2        stagger  reverse_front      491016      498964         178         131       192.1       195.6        0.98
     10 /      48       2        stagger   reverse_back      556887      460036         138         154       218.4       179.7        1.22
     10 /      48       2        stagger         sorted     2503462     1823464          47          47      1060.1       752.4        1.41
     10 /      48       2        stagger reverse_sorted      599251      335019         258         285       235.4       130.3        1.81
     10 /      48       2        stagger         dither      369732      323499         250         251       145.5       125.7        1.16
     10 /      48       2        plateau          ident     2407646     1619057          47          47      1016.7       662.3        1.54
     10 /      48       2        plateau        reverse     1937317      739614          49         107       801.9       292.2        2.74
     10 /      48       2        plateau  reverse_front     1969433      697539          49         101       817.9       275.0        2.97
     10 /      48       2        plateau   reverse_back     2493461     1817811          47          47      1055.4       749.5        1.41
     10 /      48       2        plateau         sorted     2446083     1817171          47          47      1035.2       756.6        1.37
     10 /      48       2        plateau reverse_sorted     1938240      736798          49         107       802.4       290.9        2.76
     10 /      48       2        plateau         dither     2471267     1786280          47          47      1045.1       737.1        1.42
     10 /      48       2        shuffle          ident      645937      505920         152         146       254.1       198.0        1.28
     10 /      48       2        shuffle        reverse      433801      333109         278         262       169.4       129.5        1.31
     10 /      48       2        shuffle  reverse_front      496701      386574         238         216       194.3       150.6        1.29
     10 /      48       2        shuffle   reverse_back      554347      405675         191         191       217.3       158.2        1.37
     10 /      48       2        shuffle         sorted     2502248     1828485          47          47      1060.0       754.4        1.41
     10 /      48       2        shuffle reverse_sorted      553409      329099         273         293       217.0       127.9        1.70
     10 /      48       2        shuffle         dither      413345      325822         264         256       161.2       126.8        1.27
     10 /      96       4       sawtooth          ident      190901      148705         506         537       147.8       114.9        1.29
     10 /      96       4       sawtooth        reverse      173604      145670         602         560       134.3       112.6        1.19
