 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21503289    22091431         6.8         6.6        1.02
10000000 / 1095696       0        strings        reverse           1           1    21490398    21963570         6.8         6.7        1.01
10000000 / 1095696       0        strings  reverse_front           1           1    21499173    22252152         6.0         6.7        0.90
10000000 / 1095696       0        strings   reverse_back           1           1    21494514    21661839         6.8         6.8        1.00
10000000 / 1095696       0        strings         sorted          17          16     1095695     1095695       164.4       147.8        1.11
10000000 / 1095696       0        strings reverse_sorted           3           3     7994865     9015072        20.4        18.3        1.11
     10 /      48       2       sawtooth          ident      501286      395733         186         182       195.2       153.6        1.27
     10 /      48       2       sawtooth        reverse      481612      374540         206         201       187.4       145.3        1.29
     10 /      48       2       sawtooth  reverse_front      485266      373460         196         192       189.1       145.1        1.30
     10 /      48       2       sawtooth   reverse_back      492169      382938         196         191       191.5       148.6        1.29
     10 /      48       2       sawtooth         sorted     2409988     1835699          47          47       991.6       742.6        1.34
     10 /      48       2       sawtooth reverse_sorted     2065001     1021952          49          71       839.4       404.6        2.07
     10 /      48       2       sawtooth         dither      501902      402736         186         182       195.4       156.4        1.25
     10 /      48       2           rand          ident      399180      304605         250         266       154.9       118.0        1.31
     10 /      48       2           rand        reverse      396876      326210         278         250       154.0       126.4        1.22
     10 /      48       2           rand  reverse_front      394733      312323         257         271       153.2       121.0        1.27
     10 /      48       2           rand   reverse_back      392767      314491         271         264       152.4       121.8        1.25
     10 /      48       2           rand         sorted     2348063     1827716          47          47      1026.6       738.1        1.39
     10 /      48       2           rand reverse_sorted     2072781     1362041          47          47       842.7       543.0        1.55
     10 /      48       2           rand         dither      434172      341208         222         240       168.7       132.2        1.28
     10 /      48       2        stagger          ident      511460      550995         176         124       199.2       214.7        0.93
     10 /      48       2        stagger        reverse      531295      521994         141         124       207.0       203.7        1.02
     10 /      48       2        stagger  reverse_front      477928      505677         178         131       186.0       197.1        0.94
     10 /      48       2        stagger   reverse_back      551811      468969         138         154       215.1       182.4        1.18
     10 /      48       2        stagger         sorted     2487468     1834755          47          47      1025.2       741.1        1.38
     10 /      48       2        stagger reverse_sorted      669089      345932         258         285       261.7       134.1        1.95
     10 /      48       2        stagger         dither      378821      324759         250         251       147.0       125.8        1.17
     10 /      48       2        plateau          ident     2490411     1762921          47          47      1024.9       710.8        1.44
     10 /      48       2        plateau        reverse     2109428      739846          49         107       860.9       289.9        2.97
     10 /      48       2        plateau  reverse_front     1930759      693523          49         101       781.8       271.5        2.88
     10 /      48       2        plateau   reverse_back     2474575     1827804          47          47      1018.5       739.1        1.38
     10 /      48       2        plateau         sorted     2422992     1815897          47          47       995.8       732.9        1.36
     10 /      48       2        plateau reverse_sorted     2109714      738104          49         107       859.1       289.5        2.97
     10 /      48       2        plateau         dither     2484336     1830343          47          47      1022.4       739.3        1.38
     10 /      48       2        shuffle          ident      602101      503035         152         146       235.0       195.8        1.20
     10 /      48       2        shuffle        reverse      464918      339337         278         262       180.8       131.5        1.37
     10 /      48       2        shuffle  reverse_front      505020      384068         238         216       196.6       149.3        1.32
     10 /      48       2        shuffle   reverse_back      462518      421168         191         191       180.2       163.6        1.10
     10 /      48       2        shuffle         sorted     2447308     1714195          47          47      1006.5       690.8        1.46
     10 /      48       2        shuffle reverse_sorted      652200      346508         273         293       254.9       134.3        1.90
     10 /      48       2        shuffle         dither      410718      322860         264         256       159.5       125.1        1.28
     10 /      96       4       sawtooth          ident      183549      148366         506         537       142.1       114.7        1.24
     10 /      96       4       sawtooth        reverse      174598      147138         602         560       135.1       113.7        1.19
     10 /      96       4       sawtooth  reverse_front      176886      151499         554         544       136.9       117.1        1.17
     10 /      96       4       sawtooth   reverse_back      178967      151207         554         553       138.5       116.9        1.19
     10 /      96       4       sawtooth         sorted     1925497     1276650          95          95      1631.6      1037.8        1.57
     10 /      96       4       sawtooth reverse_sorted     1239608      421795         100         191      1005.3       330.6        3.04
     10 /      96       4       sawtooth         dither      183638      149079         506         537       142.2       115.2        1.23
     10 /      96       4           rand          ident      161395      135879         636         606       124.8       105.0        1.19
     10 /      96       4           rand        reverse      163094      141956         616         588       126.1       109.7        1.15
     10 /      96       4           rand  reverse_front      164239      138872         590         600       127.0       107.4        1.18
     10 /      96       4           rand   reverse_back      159748      139853         662         601       123.5       108.1        1.14
     10 /      96       4           rand         sorted     1934796     1278793          95          95      1621.2      1039.7        1.56
     10 /      96       4           rand reverse_sorted     1297391     1112926          95          95      1056.8       898.3        1.18
