 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21823236    22091431         6.5         6.6        0.98
10000000 / 1095696       0        strings        reverse           1           1    21803375    21963570         6.6         6.7        0.98
10000000 / 1095696       0        strings  reverse_front           1           1    21814847    22252152         6.5         6.6        0.99
10000000 / 1095696       0        strings   reverse_back           1           1    21811492    21661839         6.6         6.8        0.97
10000000 / 1095696       0        strings         sorted          17          15     1095695     1095695       164.4       144.2        1.14
10000000 / 1095696       0        strings reverse_sorted           3           3     7862356     9015072        20.3        17.9        1.13
     10 /      48       2       sawtooth          ident      599965      378999         181         182       234.1       147.1        1.59
     10 /      48       2       sawtooth        reverse      568747      377692         201         201       222.1       146.5        1.52
     10 /      48       2       sawtooth  reverse_front      581831      379978         191         192       227.0       147.4        1.54
     10 /      48       2       sawtooth   reverse_back      503496      383934         191         191       196.3       149.1        1.32
     10 /      48       2       sawtooth         sorted     2495686     1738897          47          47      1028.4       700.3        1.47
     10 /      48       2       sawtooth reverse_sorted     2174612     1024722          49          71       887.4       404.6        2.19
     10 /      48       2       sawtooth         dither      604799      405116         181         182       236.1       157.3        1.50
     10 /      48       2           rand          ident      412892      306487         256         266       160.3       118.7        1.35
     10 /      48       2           rand        reverse      391744      329471         283         250       152.1       127.7        1.19
     10 /      48       2           rand  reverse_front      402867      309426         261         271       156.4       119.8        1.31
     10 /      48       2           rand   reverse_back      381486      293386         273         264       148.0       113.6        1.30
     10 /      48       2           rand         sorted     2498674     1831228          47          47      1029.4       740.5        1.39
     10 /      48       2           rand reverse_sorted     2099194     1702084          47          47       854.0       685.6        1.25
     10 /      48       2           rand         dither      440401      342555         233         240       171.1       132.8        1.29
     10 /      48       2        stagger          ident      517804      539982         185         124       201.6       210.4        0.96
     10 /      48       2        stagger        reverse      540542      525561         155         124       210.6       204.7        1.03
     10 /      48       2        stagger  reverse_front      491027      509736         187         131       191.1       198.4        0.96
     10 /      48       2        stagger   reverse_back      566600      470533         151         154       221.0       183.0        1.21
     10 /      48       2        stagger         sorted     2499556     1832123          47          47      1028.6       741.2        1.39
     10 /      48       2        stagger reverse_sorted      616398      347698         258         285       240.7       134.8        1.79
     10 /      48       2        stagger         dither      440597      323917         255         251       171.2       125.5        1.36
     10 /      48       2        plateau          ident     2503025     1819922          47          47      1030.1       735.9        1.40
     10 /      48       2        plateau        reverse     2152785      741778          49         107       877.2       290.9        3.02
     10 /      48       2        plateau  reverse_front     1545495      703526          49         101       624.0       275.3        2.27
     10 /      48       2        plateau   reverse_back     2506935     1828002          47          47      1032.2       738.7        1.40
     10 /      48       2        plateau         sorted     2481137     1820970          47          47      1020.5       735.9        1.39
     10 /      48       2        plateau reverse_sorted     2127606      738815          49         107       867.9       289.4        3.00
     10 /      48       2        plateau         dither     2534711     1837054          47          47      1044.1       742.9        1.41
     10 /      48       2        shuffle          ident      888299      502119         130         146       349.4       195.5        1.79
     10 /      48       2        shuffle        reverse      435276      338377         278         262       169.2       131.1        1.29
     10 /      48       2        shuffle  reverse_front      601472      386322         221         216       234.7       149.9        1.57
     10 /      48       2        shuffle   reverse_back      687536      414233         172         191       269.0       160.9        1.67
     10 /      48       2        shuffle         sorted     2495488     1823233          47          47      1027.1       736.4        1.39
     10 /      48       2        shuffle reverse_sorted      556777      349529         273         293       217.0       135.5        1.60
     10 /      48       2        shuffle         dither      418253      322951         271         256       162.4       125.1        1.30
     10 /      96       4       sawtooth          ident      203597      147410         512         537       157.7       114.0        1.38
     10 /      96       4       sawtooth        reverse      187385      146769         608         560       145.2       113.5        1.28
     10 /      96       4       sawtooth  reverse_front      190179      149354         560         544       147.3       115.5        1.28
     10 /      96       4       sawtooth   reverse_back      194705      150937         560         553       150.9       116.7        1.29
     10 /      96       4       sawtooth         sorted     1788944     1271091          95          95      1493.2      1035.4        1.44
     10 /      96       4       sawtooth reverse_sorted     1326640      424799         100         191      1080.3       332.3        3.25
     10 /      96       4       sawtooth         dither      203753      150652         512         537       157.9       116.5        1.36
     10 /      96       4           rand          ident      167543      137866         649         606       129.6       106.5        1.22
     10 /      96       4           rand        reverse      135268      136464         631         588       104.5       105.6        0.99
     10 /      96       4           rand  reverse_front      170830      137613         601         600       132.2       106.3        1.24
     10 /      96       4           rand   reverse_back      157516      139968         685         601       121.8       108.1        1.13
     10 /      96       4           rand         sorted     1792620     1269358          95          95      1492.8      1031.1        1.45
     10 /      96       4           rand reverse_sorted     1491183     1130358          95          95      1225.2       913.1        1.34
     10 /      96       4           rand         dither      168040      138805         660         582       130.0       107.2        1.21
     10 /      96       4        stagger          ident      199653      212681         449         338       154.7       164.8        0.94
     10 /      96       4        stagger        reverse      212162      229311         403         319       164.4       178.0        0.92
     10 /      96       4        stagger  reverse_front      198398      216243         464         339       153.8       167.6        0.92
     10 /      96       4        stagger   reverse_back      216080      214675         394         339       167.5       166.4        1.01
     10 /      96       4        stagger         sorted     1803606     1275028          95          95      1501.0      1035.7        1.45
     10 /      96       4        stagger reverse_sorted     1493577     1122644          95          95      1225.8       906.2        1.35
     10 /      96       4        stagger         dither      307826      338289         329         229       239.6       263.6        0.91
