 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21747970    22091431         6.5         6.6        0.98
10000000 / 1095696       0        strings        reverse           1           1    21736615    21963570         6.5         6.8        0.97
10000000 / 1095696       0        strings  reverse_front           1           1    21744720    22252152         6.5         6.7        0.98
10000000 / 1095696       0        strings   reverse_back           1           1    21739593    21661839         6.5         6.7        0.96
10000000 / 1095696       0        strings         sorted          18          16     1095695     1095695       173.9       154.7        1.12
10000000 / 1095696       0        strings reverse_sorted           4           3     3232686     9015072        32.2        18.3        1.76
     10 /      48       2       sawtooth          ident      645356      382065         181         182       252.5       148.4        1.70
     10 /      48       2       sawtooth        reverse      609164      369813         201         201       238.4       143.6        1.66
     10 /      48       2       sawtooth  reverse_front      619206      376292         191         192       242.1       146.1        1.66
     10 /      48       2       sawtooth   reverse_back      620964      373185         191         191       242.8       144.9        1.68
     10 /      48       2       sawtooth         sorted     2430234     1799064          47          47      1004.9       729.4        1.38
     10 /      48       2       sawtooth reverse_sorted     2116430     1010069          49          71       867.5       400.1        2.17
     10 /      48       2       sawtooth         dither      642978      400355         181         182       251.6       155.6        1.62
     10 /      48       2           rand          ident      436580      301398         261         266       169.9       116.8        1.46
     10 /      48       2           rand        reverse      411864      322604         289         250       160.1       125.0        1.28
     10 /      48       2           rand  reverse_front      422352      307570         268         271       164.2       119.2        1.38
     10 /      48       2           rand   reverse_back      417533      309364         282         264       162.3       119.9        1.35
     10 /      48       2           rand         sorted     2456641     1797149          47          47      1017.3       728.4        1.40
     10 /      48       2           rand reverse_sorted     1873429     1623956          47          47       761.7       654.7        1.16
     10 /      48       2           rand         dither      433674      314838         233         240       168.7       122.4        1.38
     10 /      48       2        stagger          ident      514780      535774         180         124       200.8       209.1        0.96
     10 /      48       2        stagger        reverse      530297      521061         149         124       206.8       203.2        1.02
     10 /      48       2        stagger  reverse_front      478657      509620         187         131       186.4       199.7        0.93
     10 /      48       2        stagger   reverse_back      550620      460017         140         154       215.1       179.1        1.20
     10 /      48       2        stagger         sorted     2393428     1773676          47          47       988.5       719.9        1.37
     10 /      48       2        stagger reverse_sorted      672575      333853         258         285       263.7       129.5        2.04
     10 /      48       2        stagger         dither      467480      315643         255         251       182.0       122.3        1.49
     10 /      48       2        plateau          ident     2466351     1779877          47          47      1021.7       721.0        1.42
     10 /      48       2        plateau        reverse     2065036      741087          49         107       844.0       291.1        2.90
     10 /      48       2        plateau  reverse_front     1946248      696193          49         101       792.4       272.9        2.90
     10 /      48       2        plateau   reverse_back     2474539     1810787          47          47      1025.0       734.4        1.40
     10 /      48       2        plateau         sorted     2427894     1800278          47          47      1004.8       729.9        1.38
     10 /      48       2        plateau reverse_sorted     2073684      740215          49         107       848.1       290.5        2.92
     10 /      48       2        plateau         dither     2470555     1800371          47          47      1022.6       729.8        1.40
     10 /      48       2        shuffle          ident      924716      492219         130         146       365.2       191.8        1.90
     10 /      48       2        shuffle        reverse      588417      334930         258         262       229.9       129.9        1.77
