 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21747970    22091431         6.3         6.6        0.95
10000000 / 1095696       0        strings        reverse           1           1    21736615    21963570         6.4         6.7        0.96
10000000 / 1095696       0        strings  reverse_front           1           1    21744720    22252152         6.4         6.6        0.98
10000000 / 1095696       0        strings   reverse_back           1           1    21739593    21661839         6.4         6.7        0.95
10000000 / 1095696       0        strings         sorted          17          15     1095695     1095695       165.4       144.3        1.15
10000000 / 1095696       0        strings reverse_sorted           4           3     3236191     9015072        30.2        18.1        1.68
     10 /      48       2       sawtooth          ident      506990      399884         181         182       197.4       155.2        1.27
     10 /      48       2       sawtooth        reverse      488095      375780         201         201       189.9       145.8        1.30
     10 /      48       2       sawtooth  reverse_front      507521      381661         191         192       197.6       148.1        1.33
     10 /      48       2       sawtooth   reverse_back      502384      373584         191         191       195.5       144.9        1.35
     10 /      48       2       sawtooth         sorted     2528740     1811422          47          47      1041.8       732.1        1.42
     10 /      48       2       sawtooth reverse_sorted     2173765      985086          49          71       886.2       388.8        2.28
     10 /      48       2       sawtooth         dither      521546      402810         181         182       203.1       156.4        1.30
     10 /      48       2           rand          ident      379100      310086         255         266       147.1       120.1        1.22
     10 /      48       2           rand        reverse      372242      326911         283         250       144.4       126.6        1.14
     10 /      48       2           rand  reverse_front      381413      313627         262         271       148.0       121.5        1.22
     10 /      48       2           rand   reverse_back      373828      307383         276         264       145.0       119.0        1.22
     10 /      48       2           rand         sorted     2503733     1812420          47          47      1031.8       731.9        1.41
     10 /      48       2           rand reverse_sorted     1858413     1665146          47          47       751.6       669.5        1.12
     10 /      48       2           rand         dither      424559      342494         226         240       164.9       132.9        1.24
     10 /      48       2        stagger          ident      492144      554481         179         124       191.6       216.1        0.89
     10 /      48       2        stagger        reverse      521225      526136         145         124       203.0       204.9        0.99
     10 /      48       2        stagger  reverse_front      474949      499200         182         131       184.8       194.3        0.95
     10 /      48       2        stagger   reverse_back      470097      449769         140         154       185.1       174.8        1.06
     10 /      48       2        stagger         sorted     2525846     1571735          47          47      1040.8       630.4        1.65
     10 /      48       2        stagger reverse_sorted      591871      344464         258         285       230.9       133.7        1.73
     10 /      48       2        stagger         dither      412308      321739         251         251       160.1       124.7        1.28
     10 /      48       2        plateau          ident     2502095     1813946          47          47      1033.1       733.7        1.41
