 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21622470    22091431         6.5         6.5        1.00
10000000 / 1095696       0        strings        reverse           1           1    21610668    21963570         6.5         6.6        0.99
10000000 / 1095696       0        strings  reverse_front           1           1    21619088    22252152         6.5         6.5        1.00
10000000 / 1095696       0        strings   reverse_back           1           1    21613778    21661839         6.5         5.3        1.21
10000000 / 1095696       0        strings         sorted          17          16     1095695     1095695       164.7       148.9        1.11
10000000 / 1095696       0        strings reverse_sorted           4           3     3258876     9015072        30.8        18.4        1.67
     10 /      48       2       sawtooth          ident      598322      414301         181         182       233.1       160.7        1.45
     10 /      48       2       sawtooth        reverse      561220      401954         201         201       218.5       155.9        1.40
     10 /      48       2       sawtooth  reverse_front      574898      411244         191         192       223.9       159.6        1.40
     10 /      48       2       sawtooth   reverse_back      579091      413215         191         191       225.5       160.3        1.41
     10 /      48       2       sawtooth         sorted     2413989     1869049          47          47       984.2       751.9        1.31
     10 /      48       2       sawtooth reverse_sorted     2150566     1044811          49          71       872.1       411.6        2.12
     10 /      48       2       sawtooth         dither      602156      425017         181         182       234.6       164.9        1.42
     10 /      48       2           rand          ident      409920      325736         287         268       159.0       126.1        1.26
     10 /      48       2           rand        reverse      415461      323810         269         268       161.1       125.3        1.29
     10 /      48       2           rand  reverse_front      412798      322960         275         275       160.1       125.0        1.28
     10 /      48       2           rand   reverse_back      416817      327317         281         260       161.7       126.7        1.28
     10 /      48       2           rand         sorted     2430241     1830252          47          47       991.7       735.3        1.35
     10 /      48       2           rand reverse_sorted     2106988     1634790          47          47       853.0       653.7        1.31
     10 /      48       2           rand         dither      446708      329667         266         241       173.4       127.7        1.36
     10 /      48       2        stagger          ident      351331      558300         179         124       136.2       217.6        0.63
     10 /      48       2        stagger        reverse      551047      523535         145         124       214.4       203.6        1.05
     10 /      48       2        stagger  reverse_front      503260      515710         182         131       195.6       200.5        0.98
     10 /      48       2        stagger   reverse_back      579445      469654         140         154       225.7       182.4        1.24
     10 /      48       2        stagger         sorted     2384352     1857751          47          47       971.3       746.8        1.30
     10 /      48       2        stagger reverse_sorted      685833      361051         258         285       267.9       139.9        1.92
     10 /      48       2        stagger         dither      457250      343798         251         251       177.5       133.2        1.33
     10 /      48       2        plateau          ident     2445900     1870346          47          47       998.0       753.4        1.32
     10 /      48       2        plateau        reverse     2028155      746896          49         107       819.2       292.1        2.81
     10 /      48       2        plateau  reverse_front     1930891      719284          49         101       778.9       281.1        2.77
     10 /      48       2        plateau   reverse_back     2437931     1868811          47          47       994.5       751.4        1.32
     10 /      48       2        plateau         sorted     2426793     1860645          47          47       991.5       748.0        1.33
     10 /      48       2        plateau reverse_sorted     2017643      738624          49         107       814.8       288.8        2.82
     10 /      48       2        plateau         dither     2425815     1849989          47          47       989.8       744.8        1.33
     10 /      48       2        shuffle          ident      825208      549128         138         146       323.4       213.9        1.51
     10 /      48       2        shuffle        reverse      563739      369434         265         262       219.5       143.1        1.53
     10 /      48       2        shuffle  reverse_front      647409      419445         224         216       252.5       162.7        1.55
     10 /      48       2        shuffle   reverse_back      715358      447024         177         191       279.6       173.8        1.61
     10 /      48       2        shuffle         sorted     2418324     1839012          47          47       987.0       738.9        1.34
     10 /      48       2        shuffle reverse_sorted      649346      373995         273         293       253.3       144.9        1.75
     10 /      48       2        shuffle         dither      377962      311636         266         256       146.6       120.7        1.22
     10 /      96       4       sawtooth          ident      211145      150524         504         537       163.1       116.1        1.41
     10 /      96       4       sawtooth        reverse      193846      149332         600         560       149.7       115.1        1.30
     10 /      96       4       sawtooth  reverse_front      201945      155836         552         544       155.9       120.2        1.30
     10 /      96       4       sawtooth   reverse_back      202932      153267         552         553       156.7       118.2        1.33
     10 /      96       4       sawtooth         sorted     1710543     1320944          95          95      1379.1      1051.6        1.31
     10 /      96       4       sawtooth reverse_sorted     1283867      423295         100         191      1021.1       328.8        3.11
     10 /      96       4       sawtooth         dither      211776      155472         504         537       163.6       119.9        1.36
     10 /      96       4           rand          ident      175221      140683         630         617       135.2       108.5        1.25
     10 /      96       4           rand        reverse      171740      135266         663         640       132.5       104.3        1.27
     10 /      96       4           rand  reverse_front      175179      137309         632         616       135.2       105.9        1.28
     10 /      96       4           rand   reverse_back      171315      141372         661         628       132.2       109.0        1.21
     10 /      96       4           rand         sorted     1705985     1323320          95          95      1372.8      1053.8        1.30
     10 /      96       4           rand reverse_sorted     1358519     1152339          95          95      1083.3       914.2        1.19
     10 /      96       4           rand         dither      184404      147425         575         574       142.3       113.7        1.25
     10 /      96       4        stagger          ident      203260      215389         446         338       157.0       166.4        0.94
     10 /      96       4        stagger        reverse      214690      218953         401         319       165.8       169.3        0.98
