 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21747970    22091431         6.3         6.5        0.97
10000000 / 1095696       0        strings        reverse           1           1    21736615    21963570         6.4         6.6        0.97
10000000 / 1095696       0        strings  reverse_front           1           1    21744720    22252152         6.4         6.5        0.99
10000000 / 1095696       0        strings   reverse_back           1           1    21739593    21661839         6.3         6.4        0.98
10000000 / 1095696       0        strings         sorted          17          15     1095695     1095695       162.3       147.1        1.10
10000000 / 1095696       0        strings reverse_sorted           4           3     3232686     9015072        31.2        18.3        1.71
     10 /      48       2       sawtooth          ident      642237      413877         181         182       250.6       160.5        1.56
     10 /      48       2       sawtooth        reverse      601581      391519         201         201       234.5       151.8        1.54
     10 /      48       2       sawtooth  reverse_front      638110      411062         191         192       248.9       159.4        1.56
     10 /      48       2       sawtooth   reverse_back      630916      413300         191         191       246.0       160.3        1.53
     10 /      48       2       sawtooth         sorted     2589381     1864203          47          47      1060.9       749.9        1.41
     10 /      48       2       sawtooth reverse_sorted     2261600     1051324          49          71       919.7       414.2        2.22
     10 /      48       2       sawtooth         dither      658662      422879         181         182       257.2       164.1        1.57
     10 /      48       2           rand          ident      339948      292425         293         268       131.8       113.1        1.17
     10 /      48       2           rand        reverse      433033      312746         275         268       168.0       121.0        1.39
     10 /      48       2           rand  reverse_front      420516      324796         281         275       163.1       125.7        1.30
     10 /      48       2           rand   reverse_back      428770      328087         287         260       166.4       127.0        1.31
     10 /      48       2           rand         sorted     2565965     1835063          47          47      1050.5       737.6        1.42
     10 /      48       2           rand reverse_sorted     1994831     1611669          47          47       807.5       645.5        1.25
     10 /      48       2           rand         dither      460439      336602         271         241       178.8       130.3        1.37
     10 /      48       2        stagger          ident      543991      562489         180         124       211.7       219.0        0.97
     10 /      48       2        stagger        reverse      560541      527271         149         124       218.2       205.1        1.06
     10 /      48       2        stagger  reverse_front      521753      516208         187         131       202.9       200.7        1.01
     10 /      48       2        stagger   reverse_back      578103      471241         140         154       225.3       183.0        1.23
     10 /      48       2        stagger         sorted     2568519     1871387          47          47      1053.2       752.7        1.40
     10 /      48       2        stagger reverse_sorted      731743      366130         258         285       286.0       141.8        2.02
     10 /      48       2        stagger         dither      467750      341971         255         251       181.9       132.5        1.37
     10 /      48       2        plateau          ident     2591351     1860455          47          47      1061.3       748.3        1.42
     10 /      48       2        plateau        reverse     2188004      752072          49         107       887.9       294.1        3.02
     10 /      48       2        plateau  reverse_front     2048825      710839          49         101       828.3       278.0        2.98
     10 /      48       2        plateau   reverse_back     2530227     1869520          47          47      1035.0       752.0        1.38
     10 /      48       2        plateau         sorted     2547078     1842828          47          47      1043.0       740.7        1.41
     10 /      48       2        plateau reverse_sorted     2166070      751573          49         107       877.5       294.5        2.98
     10 /      48       2        plateau         dither     1899563     1859849          47          47       765.2       754.7        1.01
     10 /      48       2        shuffle          ident      973517      541652         130         146       382.8       210.9        1.82
     10 /      48       2        shuffle        reverse      631075      369014         258         262       246.1       143.0        1.72
     10 /      48       2        shuffle  reverse_front      730277      421247         216         216       285.8       163.4        1.75
     10 /      48       2        shuffle   reverse_back      804534      444412         170         191       315.1       172.8        1.82
     10 /      48       2        shuffle         sorted     2592011     1867784          47          47      1061.6       751.0        1.41
     10 /      48       2        shuffle reverse_sorted      685494      360231         273         293       267.7       139.5        1.92
     10 /      48       2        shuffle         dither      459167      343435         271         256       178.3       133.0        1.34
     10 /      96       4       sawtooth          ident      213454      155592         512         537       164.9       120.0        1.37
     10 /      96       4       sawtooth        reverse      196747      150561         608         560       151.9       116.1        1.31
     10 /      96       4       sawtooth  reverse_front      203785      155560         560         544       157.4       120.0        1.31
     10 /      96       4       sawtooth   reverse_back      204454      155213         560         553       157.9       119.7        1.32
     10 /      96       4       sawtooth         sorted     1865560     1315057          95          95      1508.0      1046.8        1.44
     10 /      96       4       sawtooth reverse_sorted     1418006      440136         100         191      1133.9       342.2        3.31
     10 /      96       4       sawtooth         dither      213119      155178         512         537       164.6       119.7        1.38
     10 /      96       4           rand          ident      173730      141631         638         617       134.0       109.2        1.23
     10 /      96       4           rand        reverse      173579      136134         671         640       133.9       104.9        1.28
     10 /      96       4           rand  reverse_front      174361      137868         640         616       134.5       106.3        1.27
     10 /      96       4           rand   reverse_back      173788      140026         669         628       134.1       108.0        1.24
     10 /      96       4           rand         sorted     1855240     1319569          95          95      1500.9      1052.8        1.43
     10 /      96       4           rand reverse_sorted     1342218     1139642          95          95      1074.2       903.6        1.19
     10 /      96       4           rand         dither      180629      144765         589         574       139.4       111.8        1.25
     10 /      96       4        stagger          ident      209215      215403         447         338       161.6       166.4        0.97
     10 /      96       4        stagger        reverse      214984      223178         406         319       166.1       172.4        0.96
     10 /      96       4        stagger  reverse_front      202956      219518         478         339       156.7       169.6        0.92
     10 /      96       4        stagger   reverse_back      223178      210719         375         339       172.4       162.7        1.06
     10 /      96       4        stagger         sorted     1870945     1318092          95          95      1512.6      1051.4        1.44
     10 /      96       4        stagger reverse_sorted     1628692     1144487          95          95      1307.8       907.5        1.44
     10 /      96       4        stagger         dither      360938      350456         308         229       279.9       271.7        1.03
     10 /      96       4        plateau          ident     1854971     1305897          95          95      1500.0      1039.6        1.44
     10 /      96       4        plateau        reverse     1727036      452797          97         207      1391.9       352.0        3.95
     10 /      96       4        plateau  reverse_front     1666492      437318          97         205      1339.5       339.9        3.94
     10 /      96       4        plateau   reverse_back     1870383     1326592          95          95      1514.0      1057.3        1.43
     10 /      96       4        plateau         sorted     1818846     1305299          95          95      1468.9      1041.8        1.41
     10 /      96       4        plateau reverse_sorted     1751327      469106          97         207      1413.0       364.9        3.87
     10 /      96       4        plateau         dither     1872755     1324057          95          95      1515.7      1054.2        1.44
     10 /      96       4        shuffle          ident      358459      233665         355         354       278.4       180.6        1.54
     10 /      96       4        shuffle        reverse      258439      167783         614         548       199.9       129.4        1.54
     10 /      96       4        shuffle  reverse_front      305764      189425         473         462       236.8       146.2        1.62
     10 /      96       4        shuffle   reverse_back      299231      216682         496         418       231.7       167.4        1.38
     10 /      96       4        shuffle         sorted     1502361     1324073          95          95      1207.5      1054.9        1.14
     10 /      96       4        shuffle reverse_sorted      421587      265863         372         405       327.5       205.6        1.59
