 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21682436    22091431         5.1         5.0        1.03
10000000 / 1095696       0        strings        reverse           1           1    21671080    21963570         5.2         5.5        0.96
10000000 / 1095696       0        strings  reverse_front           1           1    21679185    22252152         5.2         5.5        0.95
10000000 / 1095696       0        strings   reverse_back           1           1    21674059    21661839         5.3         5.6        0.93
10000000 / 1095696       0        strings         sorted          17          16     1095695     1095695       162.5       153.3        1.06
10000000 / 1095696       0        strings reverse_sorted           3           2     3215383     9015072        25.3        12.1        2.09
     10 /      48       2       sawtooth          ident      570844      399262         178         182       222.0       154.6        1.44
     10 /      48       2       sawtooth        reverse      548098      382792         198         201       213.3       148.2        1.44
     10 /      48       2       sawtooth  reverse_front      560984      392660         188         192       218.0       152.1        1.43
     10 /      48       2       sawtooth   reverse_back      416819      390756         188         191       163.6       151.5        1.08
     10 /      48       2       sawtooth         sorted     2555618     1755674          47          47      1039.3       700.7        1.48
     10 /      48       2       sawtooth reverse_sorted     2232646     1009015          49          71       902.4       396.4        2.28
     10 /      48       2       sawtooth         dither      572596      404479         178         182       222.9       156.8        1.42
     10 /      48       2           rand          ident      371290      306724         290         268       143.9       118.6        1.21
     10 /      48       2           rand        reverse      376808      309511         272         268       145.9       119.7        1.22
     10 /      48       2           rand  reverse_front      372598      307034         278         275       144.3       118.8        1.21
     10 /      48       2           rand   reverse_back      376112      312943         284         260       145.6       121.1        1.20
     10 /      48       2           rand         sorted     2544507     1846345          47          47      1036.2       739.4        1.40
     10 /      48       2           rand reverse_sorted     2059679     1705695          47          47       829.0       680.9        1.22
     10 /      48       2           rand         dither      400991      323670         268         241       155.4       125.2        1.24
     10 /      48       2        stagger          ident      502093      528278         178         124       195.0       205.3        0.95
     10 /      48       2        stagger        reverse      496270      500782         147         124       192.7       194.6        0.99
     10 /      48       2        stagger  reverse_front      464617      505140         184         131       180.3       196.2        0.92
     10 /      48       2        stagger   reverse_back      539884      457133         139         154       209.7       177.3        1.18
     10 /      48       2        stagger         sorted     2559946     1849034          47          47      1040.5       739.6        1.41
     10 /      48       2        stagger reverse_sorted      678920      353152         258         285       264.7       136.7        1.94
     10 /      48       2        stagger         dither      418293      329215         252         251       162.1       127.4        1.27
     10 /      48       2        plateau          ident     2569482     1837370          47          47      1045.7       735.0        1.42
     10 /      48       2        plateau        reverse     2177491      766347          49         107       878.8       299.4        2.94
     10 /      48       2        plateau  reverse_front     1268624      700112          49         101       513.7       273.4        1.88
     10 /      48       2        plateau   reverse_back     2567194     1810929          47          47      1045.4       724.6        1.44
     10 /      48       2        plateau         sorted     2553765     1838001          47          47      1039.8       735.0        1.41
     10 /      48       2        plateau reverse_sorted     2181090      766062          49         107       880.3       299.7        2.94
     10 /      48       2        plateau         dither     2567656     1836261          47          47      1045.8       735.1        1.42
     10 /      48       2        shuffle          ident      854634      522248         127         146       334.6       203.1        1.65
     10 /      48       2        shuffle        reverse      598031      348070         255         262       232.7       134.7        1.73
     10 /      48       2        shuffle  reverse_front      670659      397373         213         216       261.7       153.9        1.70
     10 /      48       2        shuffle   reverse_back      751509      420896         167         191       293.5       163.2        1.80
     10 /      48       2        shuffle         sorted     2561099     1848303          47          47      1043.0       740.2        1.41
     10 /      48       2        shuffle reverse_sorted      651193      357181         273         293       253.7       138.3        1.83
     10 /      48       2        shuffle         dither      407981      326433         268         256       158.1       126.3        1.25
