 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         3.5         3.4        1.01
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         2.4         1.6        1.51
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         3.0         3.1        0.96
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         3.3         3.7        0.90
10000000 / 1095696       0        strings         sorted           7           7     1095695     1095695        62.3        57.7        1.08
10000000 / 1095696       0        strings reverse_sorted           1           1     7980429     9015072         4.7         5.6        0.85
     10 /      48       2       sawtooth          ident      140042      127057         186         182        54.0        49.0        1.10
     10 /      48       2       sawtooth        reverse      144390      132202         206         201        55.7        50.9        1.09
     10 /      48       2       sawtooth  reverse_front      147867      133610         196         192        57.0        51.5        1.11
     10 /      48       2       sawtooth   reverse_back      142530      131748         196         191        55.0        50.8        1.08
     10 /      48       2       sawtooth         sorted      212000      211148          47          47        81.9        81.6        1.00
     10 /      48       2       sawtooth reverse_sorted      223379      181681          49          71        86.3        70.1        1.23
     10 /      48       2       sawtooth         dither      127311       99517         186         182        49.1        37.6        1.30
     10 /      48       2           rand          ident      128464      111860         282         268        49.5        43.1        1.15
     10 /      48       2           rand        reverse      135614      118214         264         268        52.3        45.6        1.15
     10 /      48       2           rand  reverse_front      102114      117856         270         275        40.0        45.4        0.88
     10 /      48       2           rand   reverse_back      134049       94621         276         260        51.7        36.4        1.42
     10 /      48       2           rand         sorted      233879      221364          47          47        90.4        85.5        1.06
     10 /      48       2           rand reverse_sorted      225067      222541          47          47        87.0        86.0        1.01
     10 /      48       2           rand         dither      132514      120507         265         241        51.1        46.4        1.10
     10 /      48       2        stagger          ident      104330      149995         175         124        39.8        58.0        0.69
     10 /      48       2        stagger        reverse      126322       65750         140         124        48.7        25.3        1.92
     10 /      48       2        stagger  reverse_front      123754      123058         178         131        47.8        47.4        1.01
     10 /      48       2        stagger   reverse_back      133019      107071         136         154        51.4        41.3        1.24
     10 /      48       2        stagger         sorted      203107      182925          47          47        78.5        70.6        1.11
     10 /      48       2        stagger reverse_sorted      183015      122682         258         285        70.7        47.3        1.49
     10 /      48       2        stagger         dither      141469      118887         250         251        54.5        45.8        1.19
     10 /      48       2        plateau          ident      230030      230893          47          47        88.9        89.2        1.00
     10 /      48       2        plateau        reverse      223713      177914          49         107        86.5        68.6        1.26
     10 /      48       2        plateau  reverse_front      188890      140751          49         101        72.9        54.8        1.33
     10 /      48       2        plateau   reverse_back      200267      194196          47          47        77.7        75.3        1.03
     10 /      48       2        plateau         sorted      215153      185264          47          47        83.1        71.8        1.16
     10 /      48       2        plateau reverse_sorted      172011      147514          49         107        66.9        56.9        1.18
     10 /      48       2        plateau         dither      232236      193732          47          47        89.8        74.8        1.20
     10 /      48       2        shuffle          ident      165319      148536         152         146        63.8        57.3        1.11
     10 /      48       2        shuffle        reverse      150221      122485         278         262        57.9        47.3        1.22
     10 /      48       2        shuffle  reverse_front      152665      133550         238         216        58.9        51.5        1.14
     10 /      48       2        shuffle   reverse_back      160876      124754         191         191        62.0        48.1        1.29
     10 /      48       2        shuffle         sorted      233698      230139          47          47        90.3        89.0        1.02
     10 /      48       2        shuffle reverse_sorted      170950      128088         273         293        66.0        49.3        1.34
     10 /      48       2        shuffle         dither      111530      117068         264         256        43.0        45.3        0.95
     10 /      96       4       sawtooth          ident       66449       57380         506         537        51.1        44.2        1.16
     10 /      96       4       sawtooth        reverse       64396       55320         602         560        49.7        42.6        1.17
     10 /      96       4       sawtooth  reverse_front       63440       57448         554         544        48.8        44.3        1.10
     10 /      96       4       sawtooth   reverse_back       62386       55383         554         553        48.0        42.6        1.13
     10 /      96       4       sawtooth         sorted      177173      163998          95          95       137.2       127.0        1.08
     10 /      96       4       sawtooth reverse_sorted      162487      102063         100         191       125.6        78.7        1.60
     10 /      96       4       sawtooth         dither       63693       56710         506         537        49.1        43.7        1.12
     10 /      96       4           rand          ident       58351       55062         616         617        44.9        42.4        1.06
     10 /      96       4           rand        reverse       72518       57901         649         640        55.8        44.6        1.25
     10 /      96       4           rand  reverse_front       62116       59338         618         616        47.8        45.7        1.05
     10 /      96       4           rand   reverse_back       70380       57617         647         628        54.2        44.3        1.22
