 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21747970    22091431         3.1         3.5        0.89
10000000 / 1095696       0        strings        reverse           1           1    21736615    21963570         3.3         3.5        0.93
10000000 / 1095696       0        strings  reverse_front           1           1    21744720    22252152         3.4         3.4        0.98
10000000 / 1095696       0        strings   reverse_back           1           1    21739593    21661839         3.1         3.3        0.94
10000000 / 1095696       0        strings         sorted           6           6     1095695     1095695        55.6        54.4        1.02
10000000 / 1095696       0        strings reverse_sorted           2           1     3232686     9015072        14.6         5.5        2.67
     10 /      48       2       sawtooth          ident      161715      119445         181         182        62.4        46.0        1.35
     10 /      48       2       sawtooth        reverse      159566      122572         201         201        61.5        47.2        1.30
     10 /      48       2       sawtooth  reverse_front      160581      129978         191         192        61.9        50.1        1.24
     10 /      48       2       sawtooth   reverse_back      161630      132020         191         191        62.3        50.9        1.23
     10 /      48       2       sawtooth         sorted      228242      228308          47          47        88.2        88.2        1.00
     10 /      48       2       sawtooth reverse_sorted      225221      194980          49          71        87.0        75.3        1.16
     10 /      48       2       sawtooth         dither      164466      135567         181         182        63.4        52.2        1.21
     10 /      48       2           rand          ident      131332      118998         293         268        50.6        45.9        1.10
     10 /      48       2           rand        reverse      130662      116640         275         268        50.3        44.9        1.12
     10 /      48       2           rand  reverse_front      132302      112424         281         275        51.0        43.6        1.17
     10 /      48       2           rand   reverse_back      130116      109334         287         260        50.1        42.1        1.19
     10 /      48       2           rand         sorted      234894      228941          47          47        90.8        88.5        1.03
     10 /      48       2           rand reverse_sorted      230262      219825          47          47        89.0        84.9        1.05
     10 /      48       2           rand         dither      140141      115904         271         241        54.0        44.7        1.21
     10 /      48       2        stagger          ident      148727      146771         180         124        57.3        56.6        1.01
     10 /      48       2        stagger        reverse      148581      148558         149         124        57.3        57.3        1.00
     10 /      48       2        stagger  reverse_front      122356      123812         187         131        47.3        47.8        0.99
     10 /      48       2        stagger   reverse_back      147254      127744         140         154        56.8        49.2        1.15
     10 /      48       2        stagger         sorted      240280      221250          47          47        92.9        85.8        1.08
     10 /      48       2        stagger reverse_sorted      175659      122951         258         285        67.8        47.4        1.43
     10 /      48       2        stagger         dither      146702      120672         255         251        56.6        46.5        1.22
     10 /      48       2        plateau          ident      229762      208532          47          47        88.8        80.6        1.10
     10 /      48       2        plateau        reverse      226925      172103          49         107        87.7        66.4        1.32
     10 /      48       2        plateau  reverse_front      228848      170825          49         101        88.4        65.9        1.34
     10 /      48       2        plateau   reverse_back      238399      225763          47          47        92.2        87.2        1.06
     10 /      48       2        plateau         sorted      235593      226160          47          47        91.1        87.4        1.04
     10 /      48       2        plateau reverse_sorted      190905      178121          49         107        74.4        68.7        1.08
     10 /      48       2        plateau         dither      210083      193271          47          47        81.1        74.6        1.09
     10 /      48       2        shuffle          ident      154778      130404         130         146        59.7        50.3        1.19
     10 /      48       2        shuffle        reverse      159526       96926         258         262        61.5        37.4        1.65
     10 /      48       2        shuffle  reverse_front      167996      134219         216         216        65.1        51.7        1.26
     10 /      48       2        shuffle   reverse_back      176395      131495         170         191        68.0        50.7        1.34
     10 /      48       2        shuffle         sorted      229896      228456          47          47        88.8        88.3        1.01
     10 /      48       2        shuffle reverse_sorted      170883      129038         273         293        65.9        49.7        1.33
     10 /      48       2        shuffle         dither      124288      111341         271         256        47.9        42.9        1.12
     10 /      96       4       sawtooth          ident       85538       69373         512         537        65.9        53.4        1.23
     10 /      96       4       sawtooth        reverse       69462       70383         608         560        53.6        54.2        0.99
     10 /      96       4       sawtooth  reverse_front       77386       57511         560         544        59.6        44.3        1.35
     10 /      96       4       sawtooth   reverse_back       85213       71805         560         553        65.6        55.3        1.19
     10 /      96       4       sawtooth         sorted      209055      203695          95          95       161.7       157.5        1.03
     10 /      96       4       sawtooth reverse_sorted      202129      129291         100         191       156.3        99.7        1.57
     10 /      96       4       sawtooth         dither       87390       70639         512         537        67.3        54.4        1.24
     10 /      96       4           rand          ident       73484       67106         638         617        56.6        51.6        1.10
     10 /      96       4           rand        reverse       75890       61903         671         640        58.4        47.6        1.23
     10 /      96       4           rand  reverse_front       74394       62916         640         616        57.3        48.4        1.18
     10 /      96       4           rand   reverse_back       71200       66064         669         628        54.8        50.9        1.08
     10 /      96       4           rand         sorted      214673      210849          95          95       166.1       163.6        1.02
     10 /      96       4           rand reverse_sorted      219896      205370          95          95       170.1       158.8        1.07
     10 /      96       4           rand         dither       76897       68896         589         574        59.2        53.1        1.12
     10 /      96       4        stagger          ident       85581       89802         447         338        65.9        69.2        0.95
     10 /      96       4        stagger        reverse       82750       96184         406         319        63.7        74.1        0.86
     10 /      96       4        stagger  reverse_front       82539       90492         478         339        63.6        69.7        0.91
     10 /      96       4        stagger   reverse_back       90547       89261         375         339        69.7        68.7        1.01
     10 /      96       4        stagger         sorted      219375      203607          95          95       169.8       157.5        1.08
     10 /      96       4        stagger reverse_sorted      214864      203736          95          95       166.2       157.7        1.05
     10 /      96       4        stagger         dither      121498      121342         308         229        93.7        93.9        1.00
     10 /      96       4        plateau          ident      219239      209760          95          95       169.6       162.1        1.05
     10 /      96       4        plateau        reverse      179039      125963          97         207       138.3        97.4        1.42
     10 /      96       4        plateau  reverse_front      212362      135128          97         205       164.2       104.3        1.58
     10 /      96       4        plateau   reverse_back      231035      213729          95          95       179.0       165.6        1.08
     10 /      96       4        plateau         sorted      222789      209695          95          95       172.5       162.2        1.06
     10 /      96       4        plateau reverse_sorted      209474      145248          97         207       162.0       112.1        1.45
     10 /      96       4        plateau         dither      227697      213519          95          95       176.2       165.2        1.07
     10 /      96       4        shuffle          ident      118993       96904         355         354        91.7        74.7        1.23
     10 /      96       4        shuffle        reverse       99435       75751         614         548        76.7        58.3        1.32
     10 /      96       4        shuffle  reverse_front      108956       82993         473         462        84.0        63.9        1.31
     10 /      96       4        shuffle   reverse_back      109010       92578         496         418        84.0        71.3        1.18
     10 /      96       4        shuffle         sorted      223150      207439          95          95       172.7       161.0        1.07
     10 /      96       4        shuffle reverse_sorted      142556      101931         372         405       110.0        78.5        1.40
     10 /      96       4        shuffle         dither       79291       68177         614         590        61.1        52.5        1.16
     10 /      46       6       sawtooth          ident      142745      124060         235         220        52.8        45.8        1.15
     10 /      46       6       sawtooth        reverse      139418      122194         246         229        51.5        45.1        1.14
     10 /      46       6       sawtooth  reverse_front      139910      119982         251         238        51.7        44.3        1.17
     10 /      46       6       sawtooth   reverse_back      143362      121147         229         227        53.1        44.8        1.19
     10 /      46       6       sawtooth         sorted      210653      217395          45          45        78.3        80.6        0.97
