 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21747970    22091431         3.3         3.5        0.95
10000000 / 1095696       0        strings        reverse           1           1    21736615    21963570         3.3         3.4        0.97
10000000 / 1095696       0        strings  reverse_front           1           1    21744720    22252152         3.3         3.5        0.93
10000000 / 1095696       0        strings   reverse_back           1           1    21739593    21661839         2.8         2.9        0.94
10000000 / 1095696       0        strings         sorted           7           6     1095695     1095695        59.0        55.7        1.06
10000000 / 1095696       0        strings reverse_sorted           2           1     3232686     9015072        12.3         3.2        3.86
     10 /      48       2       sawtooth          ident      152578      117148         181         182        58.9        45.3        1.30
     10 /      48       2       sawtooth        reverse      156508      129643         201         201        58.7        50.1        1.17
     10 /      48       2       sawtooth  reverse_front      147413      132628         191         192        56.9        51.2        1.11
     10 /      48       2       sawtooth   reverse_back      149678      127903         191         191        58.0        49.4        1.17
     10 /      48       2       sawtooth         sorted      222284      224114          47          47        86.3        87.0        0.99
     10 /      48       2       sawtooth reverse_sorted      225831      188455          49          71        87.4        72.9        1.20
     10 /      48       2       sawtooth         dither      165694      126842         181         182        64.0        48.9        1.31
     10 /      48       2           rand          ident      123752      113487         261         266        47.7        43.8        1.09
     10 /      48       2           rand        reverse      121185      103972         289         250        46.8        40.1        1.17
     10 /      48       2           rand  reverse_front      129799      110017         268         271        50.1        42.4        1.18
     10 /      48       2           rand   reverse_back      124828      113036         282         264        48.2        43.6        1.10
     10 /      48       2           rand         sorted      222433      216898          47          47        86.1        84.1        1.02
     10 /      48       2           rand reverse_sorted      201404      219879          47          47        77.9        85.2        0.91
     10 /      48       2           rand         dither      132181      120909         233         240        51.0        46.6        1.09
     10 /      48       2        stagger          ident      118923      153379         180         124        46.2        59.2        0.78
     10 /      48       2        stagger        reverse      143208      149754         149         124        55.3        57.8        0.96
     10 /      48       2        stagger  reverse_front      140071      146363         187         131        54.1        56.5        0.96
     10 /      48       2        stagger   reverse_back      150878      140138         140         154        58.3        54.1        1.08
     10 /      48       2        stagger         sorted      195426      220906          47          47        75.9        85.5        0.89
     10 /      48       2        stagger reverse_sorted      163285       85838         258         285        63.1        33.1        1.91
     10 /      48       2        stagger         dither      136872      114679         255         251        52.8        44.2        1.19
     10 /      48       2        plateau          ident      230450      214514          47          47        89.3        83.1        1.07
     10 /      48       2        plateau        reverse      232000      173317          49         107        89.9        67.0        1.34
     10 /      48       2        plateau  reverse_front      203671      141701          49         101        78.8        54.7        1.44
     10 /      48       2        plateau   reverse_back      217080      217951          47          47        84.1        84.4        1.00
     10 /      48       2        plateau         sorted      213229      218572          47          47        82.6        85.1        0.97
     10 /      48       2        plateau reverse_sorted      213529      153799          49         107        82.7        59.4        1.39
     10 /      48       2        plateau         dither      222354      202357          47          47        86.1        78.3        1.10
     10 /      48       2        shuffle          ident      181289      147977         130         146        70.2        57.3        1.23
     10 /      48       2        shuffle        reverse      155869      121832         258         262        60.2        47.0        1.28
     10 /      48       2        shuffle  reverse_front      166766      130804         216         216        64.4        50.5        1.28
     10 /      48       2        shuffle   reverse_back      177649      129591         170         191        68.7        50.0        1.37
     10 /      48       2        shuffle         sorted      228838      228911          47          47        88.8        88.6        1.00
     10 /      48       2        shuffle reverse_sorted      163109      117546         273         293        63.0        45.3        1.39
     10 /      48       2        shuffle         dither      132906      119923         271         256        51.3        46.3        1.11
     10 /      96       4       sawtooth          ident       85438       67576         512         537        65.9        52.1        1.27
     10 /      96       4       sawtooth        reverse       78527       68396         608         560        60.6        52.7        1.15
     10 /      96       4       sawtooth  reverse_front       80453       70439         560         544        62.0        54.3        1.14
     10 /      96       4       sawtooth   reverse_back       86182       68967         560         553        66.5        53.2        1.25
     10 /      96       4       sawtooth         sorted      190790      175121          95          95       148.0       136.5        1.08
