 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         2.7         2.9        0.94
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         3.4         3.5        0.96
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         1.9         3.4        0.55
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         3.3         3.5        0.94
10000000 / 1095696       0        strings         sorted           5           5     1095695     1095695        43.7        41.0        1.07
10000000 / 1095696       0        strings reverse_sorted           1           1     7980429     9015072         4.5         5.4        0.83
     10 /      48       2       sawtooth          ident      146093      127100         186         182        57.1        49.0        1.16
     10 /      48       2       sawtooth        reverse      140083      120447         206         201        54.1        46.4        1.16
     10 /      48       2       sawtooth  reverse_front      143225      128451         196         192        55.3        49.6        1.11
     10 /      48       2       sawtooth   reverse_back      151864      129719         196         191        58.8        50.1        1.17
     10 /      48       2       sawtooth         sorted      225077      225553          47          47        88.6        87.5        1.01
     10 /      48       2       sawtooth reverse_sorted      224962      184963          49          71        87.1        71.6        1.22
     10 /      48       2       sawtooth         dither      150103      132488         186         182        58.0        51.1        1.13
     10 /      48       2           rand          ident      134421      113698         250         266        52.0        43.8        1.19
     10 /      48       2           rand        reverse      129633      108049         278         250        50.0        41.8        1.20
     10 /      48       2           rand  reverse_front      133243      114183         257         271        51.9        44.0        1.18
     10 /      48       2           rand   reverse_back      131102      111383         271         264        50.7        43.0        1.18
     10 /      48       2           rand         sorted      240682      225079          47          47        93.4        87.2        1.07
     10 /      48       2           rand reverse_sorted      227561      208967          47          47        88.1        80.7        1.09
     10 /      48       2           rand         dither      134133      119953         222         240        51.9        46.3        1.12
     10 /      48       2        stagger          ident      104395       95111         175         124        40.3        36.8        1.10
     10 /      48       2        stagger        reverse      145888      137687         140         124        56.3        53.2        1.06
     10 /      48       2        stagger  reverse_front      133496      147698         178         131        51.5        57.0        0.90
     10 /      48       2        stagger   reverse_back      149638      142072         136         154        58.4        54.8        1.06
     10 /      48       2        stagger         sorted      208184      215522          47          47        80.6        83.7        0.96
     10 /      48       2        stagger reverse_sorted      167389      120327         258         285        64.8        46.4        1.40
     10 /      48       2        stagger         dither      135212      121454         250         251        52.2        46.9        1.11
     10 /      48       2        plateau          ident      231791      217952          47          47        89.8        84.4        1.06
     10 /      48       2        plateau        reverse      232706      174924          49         107        90.1        67.6        1.33
     10 /      48       2        plateau  reverse_front      141684      136487          49         101        52.8        53.3        0.99
     10 /      48       2        plateau   reverse_back       58450       53599          47          47        22.1        20.5        1.08
     10 /      48       2        plateau         sorted       62562       56028          47          47        23.7        21.2        1.12
     10 /      48       2        plateau reverse_sorted       60264       42308          49         107        22.8        16.0        1.43
     10 /      48       2        plateau         dither       66747       58170          47          47        25.2        22.0        1.14
     10 /      48       2        shuffle          ident       40241       33184         152         146        15.2        12.5        1.21
     10 /      48       2        shuffle        reverse       35367       29903         278         262        13.3        11.3        1.18
     10 /      48       2        shuffle  reverse_front       37941       30211         238         216        14.3        11.4        1.26
     10 /      48       2        shuffle   reverse_back       39388       32364         191         191        14.9        12.1        1.23
     10 /      48       2        shuffle         sorted       61641       60906          47          47        23.3        23.0        1.01
     10 /      48       2        shuffle reverse_sorted       48348       37380         273         293        18.6        14.4        1.30
     10 /      48       2        shuffle         dither       66410       66389         264         256        25.6        25.6        1.00
     10 /      96       4       sawtooth          ident       48594       45063         506         537        37.6        34.8        1.08
     10 /      96       4       sawtooth        reverse       52713       49539         602         560        40.6        38.1        1.06
     10 /      96       4       sawtooth  reverse_front       73985       61827         554         544        57.1        47.6        1.20
     10 /      96       4       sawtooth   reverse_back       54889       50014         554         553        42.5        38.6        1.10
     10 /      96       4       sawtooth         sorted      198350      137876          95          95       156.7       107.1        1.46
     10 /      96       4       sawtooth reverse_sorted      212869      131224         100         191       165.3       101.4        1.63
     10 /      96       4       sawtooth         dither       86052       66228         506         537        66.4        51.0        1.30
     10 /      96       4           rand          ident       51358       61218         636         606        39.6        48.2        0.82
     10 /      96       4           rand        reverse       75331       63643         616         588        58.1        49.0        1.18
     10 /      96       4           rand  reverse_front       74075       65691         590         600        57.1        50.6        1.13
     10 /      96       4           rand   reverse_back       75221       68079         662         601        58.0        52.5        1.11
     10 /      96       4           rand         sorted      222818      204065          95          95       173.2       158.3        1.09
     10 /      96       4           rand reverse_sorted      208150      206029          95          95       161.5       159.9        1.01
     10 /      96       4           rand         dither       76493       66488         641         582        59.0        51.2        1.15
     10 /      96       4        stagger          ident       81593       88533         430         338        62.9        68.3        0.92
     10 /      96       4        stagger        reverse       88292       94456         385         319        68.1        72.9        0.93
     10 /      96       4        stagger  reverse_front       80643       93470         456         339        62.4        72.1        0.87
     10 /      96       4        stagger   reverse_back       87842       87380         359         339        67.8        67.6        1.00
     10 /      96       4        stagger         sorted      213785      205677          95          95       165.9       159.5        1.04
     10 /      96       4        stagger reverse_sorted      160306      184366          95          95       125.0       146.3        0.85
     10 /      96       4        stagger         dither       89222       99962         332         229        68.8        77.2        0.89
     10 /      96       4        plateau          ident      224167      200954          95          95       174.0       155.9        1.12
     10 /      96       4        plateau        reverse      223513      148912          97         207       173.5       115.2        1.51
     10 /      96       4        plateau  reverse_front      216485      134739          97         205       168.3       104.1        1.62
     10 /      96       4        plateau   reverse_back      220147      204276          95          95       174.3       158.6        1.10
     10 /      96       4        plateau         sorted      182850      202115          95          95       145.1       157.2        0.92
     10 /      96       4        plateau reverse_sorted      221245      112982          97         207       171.9        87.3        1.97
     10 /      96       4        plateau         dither      221847      211374          95          95       172.7       164.1        1.05
     10 /      96       4        shuffle          ident      101708       94816         387         354        78.5        73.2        1.07
     10 /      96       4        shuffle        reverse       87143       73364         643         548        67.3        56.6        1.19
     10 /      96       4        shuffle  reverse_front       86446       72044         502         462        67.1        55.5        1.21
     10 /      96       4        shuffle   reverse_back       94032       81542         528         418        72.6        62.9        1.15
     10 /      96       4        shuffle         sorted      221644      209558          95          95       175.7       162.6        1.08
     10 /      96       4        shuffle reverse_sorted      136672       94762         372         405       105.7        73.2        1.45
