 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21563837    22091431         3.1         3.3        0.94
10000000 / 1095696       0        strings        reverse           1           1    21552457    21963570         3.2         3.4        0.94
10000000 / 1095696       0        strings  reverse_front           1           1    21560768    22252152         3.2         3.4        0.94
10000000 / 1095696       0        strings   reverse_back           1           1    21555275    21661839         3.0         3.4        0.89
10000000 / 1095696       0        strings         sorted           7           7     1095695     1095695        61.1        53.8        1.14
10000000 / 1095696       0        strings reverse_sorted           1           1     7896114     9015072         4.3         5.3        0.81
     10 /      48       2       sawtooth          ident      148832      128040         181         182        57.4        49.4        1.16
     10 /      48       2       sawtooth        reverse      130810      126242         201         201        50.4        48.6        1.04
     10 /      48       2       sawtooth  reverse_front      120584      128125         191         192        46.6        49.4        0.94
     10 /      48       2       sawtooth   reverse_back      142132       89658         191         191        54.8        34.6        1.58
     10 /      48       2       sawtooth         sorted      229919      210066          47          47        88.9        81.2        1.09
     10 /      48       2       sawtooth reverse_sorted      217836      186539          49          71        84.1        73.8        1.14
     10 /      48       2       sawtooth         dither      155629      134681         181         182        60.0        51.9        1.16
     10 /      48       2           rand          ident      123673      113746         285         268        47.7        43.8        1.09
     10 /      48       2           rand        reverse      129369      115574         267         268        49.9        44.5        1.12
     10 /      48       2           rand  reverse_front      128174      115392         273         275        49.4        44.6        1.11
     10 /      48       2           rand   reverse_back      130932      114094         279         260        50.7        44.0        1.15
     10 /      48       2           rand         sorted      229821      208312          47          47        88.8        80.8        1.10
     10 /      48       2           rand reverse_sorted      220135      210871          47          47        85.1        81.4        1.04
     10 /      48       2           rand         dither      107291      101305         268         241        41.3        39.0        1.06
     10 /      48       2        stagger          ident      132568      129285         178         124        51.1        50.3        1.01
     10 /      48       2        stagger        reverse      126064      134166         142         124        48.6        51.7        0.94
     10 /      48       2        stagger  reverse_front      119090      136922         181         131        45.9        52.8        0.87
     10 /      48       2        stagger   reverse_back      148843      137409         138         154        57.4        52.9        1.08
     10 /      48       2        stagger         sorted      218571      219259          47          47        84.5        84.7        1.00
     10 /      48       2        stagger reverse_sorted      176467      121885         258         285        68.1        47.0        1.45
     10 /      48       2        stagger         dither      129995      119846         253         251        50.3        46.2        1.09
     10 /      48       2        plateau          ident      220555      206716          47          47        85.2        79.8        1.07
     10 /      48       2        plateau        reverse      224824      168619          49         107        86.9        65.1        1.33
     10 /      48       2        plateau  reverse_front      137098      134732          49         101        53.0        51.9        1.02
     10 /      48       2        plateau   reverse_back      218534      211145          47          47        84.5        81.6        1.04
     10 /      48       2        plateau         sorted      229182      212692          47          47        88.6        82.1        1.08
     10 /      48       2        plateau reverse_sorted      220057      171595          49         107        85.1        66.2        1.28
     10 /      48       2        plateau         dither      230053      214601          47          47        88.9        82.9        1.07
     10 /      48       2        shuffle          ident      184291      134460         121         146        71.1        51.8        1.37
     10 /      48       2        shuffle        reverse      121467      119638         281         262        46.8        46.1        1.02
     10 /      48       2        shuffle  reverse_front      158508      120111         216         216        61.1        46.3        1.32
     10 /      48       2        shuffle   reverse_back      165966      129819         169         191        64.1        50.1        1.28
     10 /      48       2        shuffle         sorted      230149      227051          47          47        88.9        88.1        1.01
     10 /      48       2        shuffle reverse_sorted      167449      117893         273         293        64.6        45.4        1.42
     10 /      48       2        shuffle         dither      132414      111919         267         256        51.0        43.1        1.18
     10 /      96       4       sawtooth          ident       69194       65429         505         537        53.3        50.4        1.06
     10 /      96       4       sawtooth        reverse       60667       60817         601         560        46.7        46.8        1.00
     10 /      96       4       sawtooth  reverse_front       57761       56343         553         544        44.4        43.4        1.02
     10 /      96       4       sawtooth   reverse_back       53621       61453         553         553        41.3        47.3        0.87
     10 /      96       4       sawtooth         sorted      204177      184925          95          95       157.8       142.9        1.10
     10 /      96       4       sawtooth reverse_sorted      188838      137250         100         191       145.9       105.9        1.38
     10 /      96       4       sawtooth         dither       78413       70744         505         537        60.7        54.5        1.11
     10 /      96       4           rand          ident       68991       60924         623         617        53.1        47.1        1.13
     10 /      96       4           rand        reverse       61104       63898         656         640        47.1        49.2        0.96
     10 /      96       4           rand  reverse_front       63286       52104         625         616        48.7        40.3        1.21
     10 /      96       4           rand   reverse_back       67101       60463         654         628        51.7        46.5        1.11
     10 /      96       4           rand         sorted      207829      200918          95          95       160.6       155.3        1.03
     10 /      96       4           rand reverse_sorted      170843      164266          95          95       132.9       127.2        1.04
     10 /      96       4           rand         dither       60770       52329         574         574        46.8        40.3        1.16
     10 /      96       4        stagger          ident       64875       70317         437         338        50.0        54.2        0.92
     10 /      96       4        stagger        reverse       66079       78150         388         319        50.9        60.2        0.85
     10 /      96       4        stagger  reverse_front       62208       71825         463         339        48.0        55.3        0.87
     10 /      96       4        stagger   reverse_back       72401       67544         362         339        55.8        52.1        1.07
     10 /      96       4        stagger         sorted      167388      150902          95          95       129.8       117.2        1.11
     10 /      96       4        stagger reverse_sorted      171473      152094          95          95       132.5       117.7        1.13
     10 /      96       4        stagger         dither      108866      104945         324         229        84.0        80.9        1.04
     10 /      96       4        plateau          ident      196910      199250          95          95       152.2       154.5        0.99
     10 /      96       4        plateau        reverse      202476      138004          97         207       156.5       106.6        1.47
     10 /      96       4        plateau  reverse_front      204143      132253          97         205       157.8       102.1        1.54
     10 /      96       4        plateau   reverse_back      213223      206978          95          95       164.8       160.1        1.03
     10 /      96       4        plateau         sorted      215332      203851          95          95       166.5       157.7        1.06
     10 /      96       4        plateau reverse_sorted      199128      146726          97         207       153.9       113.3        1.36
     10 /      96       4        plateau         dither      212117      209754          95          95       164.5       162.9        1.01
     10 /      96       4        shuffle          ident      110623       83117         354         354        85.4        64.0        1.33
     10 /      96       4        shuffle        reverse       61474       62645         650         548        47.3        48.2        0.98
     10 /      96       4        shuffle  reverse_front       90284       63567         494         462        69.6        48.9        1.42
     10 /      96       4        shuffle   reverse_back       98654       85219         495         418        76.0        65.6        1.16
     10 /      96       4        shuffle         sorted      203410      201191          95          95       157.7       155.6        1.01
     10 /      96       4        shuffle reverse_sorted      130904       98075         373         405       101.1        75.6        1.34
     10 /      96       4        shuffle         dither       72522       65566         607         590        55.9        50.5        1.11
     10 /      46       6       sawtooth          ident      131436      123694         230         220        48.6        45.7        1.06
     10 /      46       6       sawtooth        reverse      134322      115382         241         229        49.6        42.6        1.17
     10 /      46       6       sawtooth  reverse_front      130399      118558         246         238        48.1        43.8        1.10
     10 /      46       6       sawtooth   reverse_back      134387      119920         224         227        49.6        44.3        1.12
     10 /      46       6       sawtooth         sorted      232277      221224          45          45        86.0        81.9        1.05
     10 /      46       6       sawtooth reverse_sorted      148559      127404         229         224        54.9        47.0        1.17
     10 /      46       6       sawtooth         dither      126854      112840         205         225        46.8        41.7        1.12
     10 /      46       6           rand          ident      129353      106356         253         246        47.9        39.3        1.22
