 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         4.9         5.4        0.90
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         6.0         6.5        0.92
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         6.4         6.4        0.99
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         6.3         6.3        1.01
10000000 / 1095696       0        strings         sorted          14          12     1095695     1095695       133.5       110.5        1.21
10000000 / 1095696       0        strings reverse_sorted           3           2     7980429     9015072        17.5        16.0        1.10
     10 /      48       2       sawtooth          ident      537375      357245         186         182       208.9       138.3        1.51
     10 /      48       2       sawtooth        reverse      505183      360130         206         201       196.6       139.4        1.41
     10 /      48       2       sawtooth  reverse_front      517205      373824         196         192       201.3       144.7        1.39
     10 /      48       2       sawtooth   reverse_back      518305      378455         196         191       201.4       146.6        1.37
     10 /      48       2       sawtooth         sorted     2123708     1416461          47          47       856.3       561.6        1.52
     10 /      48       2       sawtooth reverse_sorted     1951545      870907          49          71       784.3       341.0        2.30
     10 /      48       2       sawtooth         dither      536163      359776         186         182       208.4       139.3        1.50
     10 /      48       2           rand          ident      390147      299306         282         268       151.2       115.7        1.31
     10 /      48       2           rand        reverse      410208      282191         264         268       159.0       109.0        1.46
     10 /      48       2           rand  reverse_front      388870      289495         270         275       150.6       111.9        1.35
     10 /      48       2           rand   reverse_back      413599      304107         276         260       160.3       117.6        1.36
     10 /      48       2           rand         sorted     2093153     1467553          47          47       852.5       582.5        1.46
     10 /      48       2           rand reverse_sorted     1984781     1279036          47          47       797.2       505.5        1.58
     10 /      48       2           rand         dither      406177      289460         265         241       157.4       111.9        1.41
     10 /      48       2        stagger          ident      471999      453765         175         124       183.2       176.1        1.04
     10 /      48       2        stagger        reverse      483205      434584         140         124       187.6       168.5        1.11
     10 /      48       2        stagger  reverse_front      479151      411915         178         131       186.0       159.6        1.16
     10 /      48       2        stagger   reverse_back      497634      381080         136         154       193.2       147.6        1.31
     10 /      48       2        stagger         sorted     2079614     1451536          47          47       837.3       575.9        1.45
     10 /      48       2        stagger reverse_sorted      679588      330322         258         285       265.1       127.8        2.07
     10 /      48       2        stagger         dither      433796      324099         250         251       168.2       125.4        1.34
     10 /      48       2        plateau          ident     2074625     1467407          47          47       835.8       582.4        1.43
     10 /      48       2        plateau        reverse     1813283      574933          49         107       725.7       223.6        3.25
     10 /      48       2        plateau  reverse_front     1771890      602016          49         101       708.2       234.3        3.02
     10 /      48       2        plateau   reverse_back     2110078     1463720          47          47       850.2       580.9        1.46
     10 /      48       2        plateau         sorted     2068012     1480120          47          47       832.5       587.7        1.42
     10 /      48       2        plateau reverse_sorted     1794559      566901          49         107       717.8       220.5        3.26
     10 /      48       2        plateau         dither     2050800     1421898          47          47       825.7       564.9        1.46
     10 /      48       2        shuffle          ident      646044      491550         152         146       251.7       190.8        1.32
     10 /      48       2        shuffle        reverse      468933      322606         278         262       182.0       124.8        1.46
     10 /      48       2        shuffle  reverse_front      542906      387501         238         216       211.0       150.1        1.41
     10 /      48       2        shuffle   reverse_back      553232      387738         191         191       215.1       150.2        1.43
     10 /      48       2        shuffle         sorted     1991424     1468609          47          47       801.5       583.1        1.37
     10 /      48       2        shuffle reverse_sorted      685589      323069         273         293       267.3       125.0        2.14
     10 /      48       2        shuffle         dither      425999      311210         264         256       165.2       120.3        1.37
     10 /      96       4       sawtooth          ident      187087      144803         506         537       144.4       111.7        1.29
     10 /      96       4       sawtooth        reverse      175684      143422         602         560       135.5       110.6        1.23
     10 /      96       4       sawtooth  reverse_front      182041      142002         554         544       140.5       109.5        1.28
     10 /      96       4       sawtooth   reverse_back      183750      142635         554         553       141.8       110.0        1.29
     10 /      96       4       sawtooth         sorted     1592212     1066669          95          95      1275.6       842.6        1.51
     10 /      96       4       sawtooth reverse_sorted     1228468      358058         100         191       974.6       277.6        3.51
     10 /      96       4       sawtooth         dither      189681      145008         506         537       146.5       111.8        1.31
     10 /      96       4           rand          ident      164642      130273         616         617       127.0       100.4        1.27
     10 /      96       4           rand        reverse      159024      126217         649         640       122.6        97.3        1.26
     10 /      96       4           rand  reverse_front      161635      127395         618         616       124.7        98.2        1.27
