 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         6.3         5.9        1.07
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         6.2         6.2        0.99
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         6.3         6.2        1.01
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         6.3         6.3        1.00
10000000 / 1095696       0        strings         sorted          14          12     1095695     1095695       131.1       110.0        1.19
10000000 / 1095696       0        strings reverse_sorted           2           2     7980429     9015072        17.4        15.3        1.14
     10 /      48       2       sawtooth          ident      569793      418808         186         182       228.8       166.2        1.38
     10 /      48       2       sawtooth        reverse      514753      415522         206         201       206.7       164.8        1.25
     10 /      48       2       sawtooth  reverse_front      544584      413825         196         192       218.5       164.1        1.33
     10 /      48       2       sawtooth   reverse_back      543904      427960         196         191       217.9       170.0        1.28
     10 /      48       2       sawtooth         sorted     1443704     1146347          47          47       626.0       482.7        1.30
     10 /      48       2       sawtooth reverse_sorted     1242334      927230          49          71       527.9       383.2        1.38
     10 /      48       2       sawtooth         dither      566165      426713         186         182       227.4       169.4        1.34
     10 /      48       2           rand          ident      414317      338309         281         279       164.4       133.6        1.23
     10 /      48       2           rand        reverse      455059      365641         252         236       181.2       144.4        1.25
     10 /      48       2           rand  reverse_front      424046      324974         267         277       168.3       128.0        1.31
     10 /      48       2           rand   reverse_back      423359      346621         266         268       168.1       136.9        1.23
     10 /      48       2           rand         sorted     1444017     1221026          47          47       625.6       518.5        1.21
     10 /      48       2           rand reverse_sorted     1298783     1117347          47          47       556.1       469.0        1.19
     10 /      48       2           rand         dither      454385      352340         250         237       180.8       139.1        1.30
     10 /      48       2        stagger          ident      611028      603256         175         124       246.3       243.3        1.01
     10 /      48       2        stagger        reverse      631627      570483         140         124       254.8       229.2        1.11
     10 /      48       2        stagger  reverse_front      573618      602997         178         131       231.4       242.9        0.95
     10 /      48       2        stagger   reverse_back      698964      501963         136         154       283.6       200.6        1.41
     10 /      48       2        stagger         sorted     1457086     1224035          47          47       629.6       518.5        1.21
     10 /      48       2        stagger reverse_sorted      471166      353772         258         285       187.7       139.7        1.34
     10 /      48       2        stagger         dither      456378      367175         250         251       182.8       145.1        1.26
     10 /      48       2        plateau          ident     1458952     1213265          47          47       631.2       513.7        1.23
     10 /      48       2        plateau        reverse     1246219      742297          49         107       529.2       302.2        1.75
     10 /      48       2        plateau  reverse_front     1339027      661796          49         101       572.8       268.1        2.14
     10 /      48       2        plateau   reverse_back     1419799     1220379          47          47       612.5       523.0        1.17
     10 /      48       2        plateau         sorted     1468640     1231806          47          47       635.4       522.5        1.22
     10 /      48       2        plateau reverse_sorted     1246242      761698          49         107       529.3       312.4        1.69
     10 /      48       2        plateau         dither     1465290     1232934          47          47       633.9       523.0        1.21
     10 /      48       2        shuffle          ident      640199      479337         152         146       258.7       191.2        1.35
     10 /      48       2        shuffle        reverse      421333      361939         278         262       167.2       143.1        1.17
     10 /      48       2        shuffle  reverse_front      476793      402494         238         216       190.0       159.5        1.19
     10 /      48       2        shuffle   reverse_back      540928      434540         191         191       218.0       172.6        1.26
     10 /      48       2        shuffle         sorted     1466581     1190240          47          47       634.8       503.0        1.26
     10 /      48       2        shuffle reverse_sorted      404443      341493         273         293       161.0       135.0        1.19
     10 /      48       2        shuffle         dither      372600      312378         264         256       148.2       123.4        1.20
     10 /      96       4       sawtooth          ident      191736      149331         506         537       151.7       117.2        1.29
     10 /      96       4       sawtooth        reverse      158133      135129         602         560       124.5       106.0        1.17
     10 /      96       4       sawtooth  reverse_front      168837      136978         554         544       133.2       107.5        1.24
     10 /      96       4       sawtooth   reverse_back      169115      133346         554         553       133.4       104.6        1.28
     10 /      96       4       sawtooth         sorted      763142      685737          95          95       666.1       587.5        1.13
     10 /      96       4       sawtooth reverse_sorted      583976      359308         100         191       493.5       292.4        1.69
     10 /      96       4       sawtooth         dither      181849      140691         506         537       143.9       110.4        1.30
     10 /      96       4           rand          ident      137147      116165         653         617       107.8        91.0        1.19
     10 /      96       4           rand        reverse      142976      114901         607         614       112.5        90.0        1.25
     10 /      96       4           rand  reverse_front      145768      114487         624         617       114.7        89.6        1.28
     10 /      96       4           rand   reverse_back      144975      118807         636         631       114.0        93.0        1.23
     10 /      96       4           rand         sorted      750954      660429          95          95       653.4       567.8        1.15
     10 /      96       4           rand reverse_sorted      650271      633147          95          95       555.9       539.9        1.03
     10 /      96       4           rand         dither      158240      134698         589         576       124.6       105.6        1.18
     10 /      96       4        stagger          ident      209086      215852         430         338       166.0       171.6        0.97
     10 /      96       4        stagger        reverse      215991      214475         385         319       171.5       170.4        1.01
     10 /      96       4        stagger  reverse_front      187554      223529         456         339       148.5       177.9        0.84
     10 /      96       4        stagger   reverse_back      225694      199895         359         339       179.9       158.7        1.13
     10 /      96       4        stagger         sorted      768888      681894          95          95       668.2       586.1        1.14
     10 /      96       4        stagger reverse_sorted      655931      651168          95          95       559.3       554.7        1.01
     10 /      96       4        stagger         dither      274261      325870         332         229       219.7       263.2        0.83
     10 /      96       4        plateau          ident      800773      707490          95          95       696.7       608.4        1.15
     10 /      96       4        plateau        reverse      705914      425502          97         207       604.6       348.5        1.73
     10 /      96       4        plateau  reverse_front      686943      379415          97         205       586.5       308.5        1.90
     10 /      96       4        plateau   reverse_back      808017      729942          95          95       703.8       627.7        1.12
     10 /      96       4        plateau         sorted      792947      730136          95          95       691.9       627.8        1.10
     10 /      96       4        plateau reverse_sorted      680688      412347          97         207       582.8       337.7        1.73
     10 /      96       4        plateau         dither      768730      706198          95          95       668.0       609.9        1.10
     10 /      96       4        shuffle          ident      226080      187935         387         354       179.8       148.6        1.21
     10 /      96       4        shuffle        reverse      150656      145779         643         548       118.5       114.6        1.03
     10 /      96       4        shuffle  reverse_front      179908      155385         502         462       142.2       122.3        1.16
     10 /      96       4        shuffle   reverse_back      176893      183369         528         418       139.7       145.0        0.96
     10 /      96       4        shuffle         sorted      755535      681742          95          95       657.9       586.0        1.12
     10 /      96       4        shuffle reverse_sorted      234905      200671         372         405       187.3       159.4        1.18
     10 /      96       4        shuffle         dither      158705      130093         600         590       125.0       102.0        1.23
     10 /      46       6       sawtooth          ident      363856      303607         227         220       137.7       114.3        1.21
     10 /      46       6       sawtooth        reverse      358077      286713         238         229       135.4       107.8        1.26
     10 /      46       6       sawtooth  reverse_front      356709      289968         243         238       134.8       109.0        1.24
     10 /      46       6       sawtooth   reverse_back      376678      295572         221         227       142.5       111.2        1.28
     10 /      46       6       sawtooth         sorted     1172135      951960          45          45       470.5       376.6        1.25
     10 /      46       6       sawtooth reverse_sorted      395929      326499         226         224       150.4       123.0        1.22
     10 /      46       6       sawtooth         dither      416589      293617         202         225       158.0       110.4        1.43
     10 /      46       6           rand          ident      360105      308044         239         210       136.1       115.9        1.17
     10 /      46       6           rand        reverse      345531      294571         248         221       130.5       110.8        1.18
     10 /      46       6           rand  reverse_front      368665      287409         225         226       139.5       108.0        1.29
     10 /      46       6           rand   reverse_back      325834      277534         262         224       122.9       104.3        1.18
