 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         2.9         2.6        1.12
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         2.9         2.6        1.11
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         2.9         2.5        1.12
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         2.9         2.6        1.08
10000000 / 1095696       0        strings         sorted           3           3     1095695     1095695        21.3        20.7        1.03
10000000 / 1095696       0        strings reverse_sorted           1           1     7980429     9015072         3.5         2.1        1.67
     10 /      48       2       sawtooth          ident      260863      205956         186         182       101.5        79.9        1.27
     10 /      48       2       sawtooth        reverse      249896      200830         206         201        97.2        77.9        1.25
     10 /      48       2       sawtooth  reverse_front      254413      202434         196         192        99.0        78.5        1.26
     10 /      48       2       sawtooth   reverse_back      254349      203316         196         191        98.9        78.9        1.25
     10 /      48       2       sawtooth         sorted      828033      682644          47          47       331.8       271.5        1.22
     10 /      48       2       sawtooth reverse_sorted      731735      472083          49          71       291.7       185.7        1.57
     10 /      48       2       sawtooth         dither      260767      206586         186         182       101.5        80.2        1.27
     10 /      48       2           rand          ident      206405      169125         282         268        80.1        65.5        1.22
     10 /      48       2           rand        reverse      210979      171166         264         268        81.9        66.3        1.24
     10 /      48       2           rand  reverse_front      209531      168486         270         275        81.3        65.3        1.25
     10 /      48       2           rand   reverse_back      209253      170235         276         260        81.2        65.9        1.23
     10 /      48       2           rand         sorted      827698      682739          47          47       331.7       271.5        1.22
     10 /      48       2           rand reverse_sorted      729805      623848          47          47       290.9       247.3        1.18
     10 /      48       2           rand         dither      217691      174853         265         241        84.5        67.7        1.25
     10 /      48       2        stagger          ident      258310      291028         175         124       100.5       113.4        0.89
     10 /      48       2        stagger        reverse      253612      277602         140         124        98.6       108.1        0.91
     10 /      48       2        stagger  reverse_front      253363      258948         178         131        98.5       100.7        0.98
     10 /      48       2        stagger   reverse_back      284455      234558         136         154       110.8        91.1        1.22
     10 /      48       2        stagger         sorted      827546      681584          47          47       331.6       271.0        1.22
     10 /      48       2        stagger reverse_sorted      291918      182498         258         285       113.8        70.7        1.61
     10 /      48       2        stagger         dither      222389      177133         250         251        86.4        68.6        1.26
     10 /      48       2        plateau          ident      828038      678699          47          47       331.8       269.9        1.23
     10 /      48       2        plateau        reverse      731077      348886          49         107       291.5       136.4        2.14
     10 /      48       2        plateau  reverse_front      702384      337484          49         101       279.6       131.8        2.12
     10 /      48       2        plateau   reverse_back      825837      679599          47          47       330.9       270.2        1.22
     10 /      48       2        plateau         sorted      827871      679642          47          47       331.7       270.2        1.23
     10 /      48       2        plateau reverse_sorted      731190      348570          49         107       291.5       136.2        2.14
     10 /      48       2        plateau         dither      827552      679345          47          47       331.6       270.1        1.23
     10 /      48       2        shuffle          ident      308505      253068         152         146       120.3        98.4        1.22
     10 /      48       2        shuffle        reverse      234849      188592         278         262        91.3        73.1        1.25
     10 /      48       2        shuffle  reverse_front      252337      205830         238         216        98.2        79.9        1.23
     10 /      48       2        shuffle   reverse_back      269551      216448         191         191       104.9        84.0        1.25
     10 /      48       2        shuffle         sorted      817694      679688          47          47       327.5       270.2        1.21
     10 /      48       2        shuffle reverse_sorted      277189      186064         273         293       107.9        72.1        1.50
     10 /      48       2        shuffle         dither      215522      176744         264         256        83.7        68.5        1.22
     10 /      96       4       sawtooth          ident      106382       85495         506         537        82.3        66.1        1.25
     10 /      96       4       sawtooth        reverse       98236       82362         602         560        76.0        63.6        1.19
     10 /      96       4       sawtooth  reverse_front      102151       84718         554         544        79.0        65.5        1.21
     10 /      96       4       sawtooth   reverse_back      101879       85363         554         553        78.8        65.9        1.19
     10 /      96       4       sawtooth         sorted      640465      535784          95          95       514.9       427.5        1.20
     10 /      96       4       sawtooth reverse_sorted      497470      230396         100         191       395.8       179.8        2.20
     10 /      96       4       sawtooth         dither      106264       85593         506         537        82.2        66.1        1.24
