 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         2.7         2.4        1.12
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         2.7         2.5        1.08
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         2.7         2.3        1.17
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         2.7         2.4        1.10
10000000 / 1095696       0        strings         sorted           3           3     1095695     1095695        19.3        19.2        1.00
10000000 / 1095696       0        strings reverse_sorted           1           1     7980429     9015072         3.3         1.9        1.74
     10 /      48       2       sawtooth          ident      257320      204648         186         182       100.6        79.7        1.26
     10 /      48       2       sawtooth        reverse      247716      197917         206         201        96.8        77.0        1.26
     10 /      48       2       sawtooth  reverse_front      252888      200431         196         192        98.8        78.0        1.27
     10 /      48       2       sawtooth   reverse_back      252623      201249         196         191        98.7        78.4        1.26
     10 /      48       2       sawtooth         sorted      811475      686480          47          47       329.9       276.5        1.19
     10 /      48       2       sawtooth reverse_sorted      715059      464482          49          71       288.7       184.2        1.57
     10 /      48       2       sawtooth         dither      257340      204924         186         182       100.6        79.8        1.26
     10 /      48       2           rand          ident      217443      169189         250         266        84.8        65.7        1.29
     10 /      48       2           rand        reverse      209236      175048         278         250        81.5        68.0        1.20
     10 /      48       2           rand  reverse_front      213015      170086         257         271        83.0        66.1        1.26
     10 /      48       2           rand   reverse_back      212336      173455         271         264        82.7        67.4        1.23
     10 /      48       2           rand         sorted      811367      685657          47          47       329.8       276.2        1.19
     10 /      48       2           rand reverse_sorted      715709      615736          47          47       288.9       246.8        1.17
     10 /      48       2           rand         dither      226959      184887         222         240        88.5        71.9        1.23
     10 /      48       2        stagger          ident      264496      286630         175         124       103.4       112.3        0.92
     10 /      48       2        stagger        reverse      275774      273529         140         124       107.9       107.0        1.01
     10 /      48       2        stagger  reverse_front      257442      254938         178         131       100.6        99.6        1.01
     10 /      48       2        stagger   reverse_back      295017      236759         136         154       115.6        92.4        1.25
     10 /      48       2        stagger         sorted      811890      687591          47          47       330.1       277.0        1.19
     10 /      48       2        stagger reverse_sorted      295244      183446         258         285       115.7        71.3        1.62
     10 /      48       2        stagger         dither      221608      176176         250         251        86.4        68.5        1.26
     10 /      48       2        plateau          ident      810708      686614          47          47       329.6       276.6        1.19
     10 /      48       2        plateau        reverse      707969      352751          49         107       285.7       138.8        2.06
     10 /      48       2        plateau  reverse_front      687240      336254          49         101       276.9       132.2        2.09
     10 /      48       2        plateau   reverse_back      812476      678334          47          47       330.4       273.3        1.21
     10 /      48       2        plateau         sorted      810331      685534          47          47       329.4       276.1        1.19
     10 /      48       2        plateau reverse_sorted      709981      353103          49         107       286.5       139.0        2.06
     10 /      48       2        plateau         dither      812644      681193          47          47       330.3       274.3        1.20
     10 /      48       2        shuffle          ident      300673      250865         152         146       117.9        98.1        1.20
     10 /      48       2        shuffle        reverse      232960      187628         278         262        90.9        73.0        1.25
     10 /      48       2        shuffle  reverse_front      252984      205371         238         216        98.9        80.0        1.24
     10 /      48       2        shuffle   reverse_back      269474      220164         191         191       105.4        85.8        1.23
     10 /      48       2        shuffle         sorted      812076      685197          47          47       330.2       276.0        1.20
     10 /      48       2        shuffle reverse_sorted      275148      186157         273         293       107.7        72.4        1.49
     10 /      48       2        shuffle         dither      214474      176673         264         256        83.6        68.7        1.22
     10 /      96       4       sawtooth          ident      105013       85035         506         537        81.6        65.9        1.24
     10 /      96       4       sawtooth        reverse       98000       82369         602         560        76.1        63.8        1.19
     10 /      96       4       sawtooth  reverse_front      101619       85149         554         544        78.9        66.0        1.20
     10 /      96       4       sawtooth   reverse_back      101528       84465         554         553        78.9        65.5        1.20
     10 /      96       4       sawtooth         sorted      628633      542002          95          95       518.7       442.7        1.17
     10 /      96       4       sawtooth reverse_sorted      480950      225553         100         191       390.1       177.6        2.20
     10 /      96       4       sawtooth         dither      105239       85534         506         537        81.8        66.3        1.23
     10 /      96       4           rand          ident       92445       79627         636         606        71.7        61.7        1.16
     10 /      96       4           rand        reverse       93508       80542         616         588        72.6        62.4        1.16
     10 /      96       4           rand  reverse_front       95443       80084         590         600        74.1        62.1        1.19
     10 /      96       4           rand   reverse_back       91248       78787         662         601        70.8        61.0        1.16
     10 /      96       4           rand         sorted      628864      543285          95          95       518.9       443.9        1.17
     10 /      96       4           rand reverse_sorted      521404      464146          95          95       424.9       375.7        1.13
     10 /      96       4           rand         dither       92186       80879         641         582        71.5        62.7        1.14
     10 /      96       4        stagger          ident      112655      125099         430         338        87.6        97.4        0.90
     10 /      96       4        stagger        reverse      117697      127067         385         319        91.6        99.0        0.93
     10 /      96       4        stagger  reverse_front      107806      121204         456         339        83.8        94.3        0.89
     10 /      96       4        stagger   reverse_back      122206      122618         359         339        95.1        95.5        1.00
     10 /      96       4        stagger         sorted      627826      540408          95          95       518.0       441.2        1.17
     10 /      96       4        stagger reverse_sorted      520647      463293          95          95       424.2       375.0        1.13
     10 /      96       4        stagger         dither      153702      188385         332         229       120.1       147.7        0.81
     10 /      96       4        plateau          ident      628573      542920          95          95       518.7       443.5        1.17
