 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         3.5         3.6        0.97
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         3.4         3.6        0.94
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         3.5         3.6        0.97
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         3.3         3.6        0.90
10000000 / 1095696       0        strings         sorted           5           5     1095695     1095695        44.2        43.0        1.03
10000000 / 1095696       0        strings reverse_sorted           1           1     7980429     9015072         7.5         6.6        1.15
     10 /      48       2       sawtooth          ident      332575      215547         186         182       129.8        83.8        1.55
     10 /      48       2       sawtooth        reverse      302873      221134         206         201       118.0        85.8        1.38
     10 /      48       2       sawtooth  reverse_front      299853      216629         196         192       116.8        84.1        1.39
     10 /      48       2       sawtooth   reverse_back      270305      220148         196         191       105.1        85.5        1.23
     10 /      48       2       sawtooth         sorted     1240351      922638          47          47       509.2       371.5        1.37
     10 /      48       2       sawtooth reverse_sorted     1157378      548755          49          71       478.1       216.3        2.21
     10 /      48       2       sawtooth         dither      211368      171584         186         182        82.2        66.5        1.24
     10 /      48       2           rand          ident      176735       81896         250         266        68.8        31.6        2.18
     10 /      48       2           rand        reverse      225781      161786         278         250        87.6        62.6        1.40
     10 /      48       2           rand  reverse_front      217774      161609         257         271        84.5        62.6        1.35
     10 /      48       2           rand   reverse_back      234740      164169         271         264        91.2        63.6        1.43
     10 /      48       2           rand         sorted     1192604      938431          47          47       489.7       378.7        1.29
     10 /      48       2           rand reverse_sorted     1082018      792704          47          47       439.0       317.9        1.38
     10 /      48       2           rand         dither      240459      178461         222         240        93.5        69.1        1.35
     10 /      48       2        stagger          ident      282973      309238         175         124       110.2       120.5        0.91
     10 /      48       2        stagger        reverse      284723      278200         140         124       111.2       108.3        1.03
     10 /      48       2        stagger  reverse_front      221616      228313         178         131        86.1        88.8        0.97
     10 /      48       2        stagger   reverse_back      305210      237643         136         154       118.9        92.3        1.29
     10 /      48       2        stagger         sorted     1244253      930862          47          47       508.0       376.5        1.35
     10 /      48       2        stagger reverse_sorted      385699      177426         258         285       151.0        68.8        2.20
     10 /      48       2        stagger         dither      236392      171187         250         251        91.8        66.3        1.38
     10 /      48       2        plateau          ident     1194419      902880          47          47       487.2       363.6        1.34
     10 /      48       2        plateau        reverse     1175184      395000          49         107       479.9       154.5        3.11
     10 /      48       2        plateau  reverse_front     1027120      344486          49         101       416.1       135.6        3.07
     10 /      48       2        plateau   reverse_back     1203736      875433          47          47       491.3       352.6        1.39
     10 /      48       2        plateau         sorted     1154746      910677          47          47       471.3       369.9        1.27
     10 /      48       2        plateau reverse_sorted     1088949      372485          49         107       443.1       145.7        3.04
     10 /      48       2        plateau         dither     1168262      886615          47          47       477.4       356.7        1.34
     10 /      48       2        shuffle          ident      323843      249587         152         146       126.6        97.1        1.30
     10 /      48       2        shuffle        reverse      252881      172389         278         262        98.3        66.8        1.47
     10 /      48       2        shuffle  reverse_front      284343      211031         238         216       110.7        81.9        1.35
     10 /      48       2        shuffle   reverse_back      304950      216292         191         191       118.8        83.9        1.42
     10 /      48       2        shuffle         sorted     1131875      890799          47          47       461.7       358.8        1.29
     10 /      48       2        shuffle reverse_sorted      353294      174956         273         293       138.1        67.8        2.04
