 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         6.3         6.1        1.04
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         6.5         6.2        1.05
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         6.5         6.1        1.06
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         6.4         6.3        1.02
10000000 / 1095696       0        strings         sorted          16          15     1095695     1095695       157.9       144.0        1.10
10000000 / 1095696       0        strings reverse_sorted           3           2     7980429     9015072        18.4        16.4        1.12
     10 /      48       2       sawtooth          ident      521056      392530         186         182       202.8       152.4        1.33
     10 /      48       2       sawtooth        reverse      501365      377081         206         201       195.3       146.1        1.34
     10 /      48       2       sawtooth  reverse_front      497261      388719         196         192       194.4       150.7        1.29
     10 /      48       2       sawtooth   reverse_back      509170      384306         196         191       198.2       149.2        1.33
     10 /      48       2       sawtooth         sorted     2400218     1739570          47          47       980.8       701.1        1.40
     10 /      48       2       sawtooth reverse_sorted     2075057      970195          49          71       842.6       381.5        2.21
     10 /      48       2       sawtooth         dither      508774      340024         186         182       197.8       131.8        1.50
     10 /      48       2           rand          ident      404453      303019         282         268       156.8       117.2        1.34
     10 /      48       2           rand        reverse      385257      301911         264         268       150.1       116.9        1.28
     10 /      48       2           rand  reverse_front      401545      305238         270         275       155.8       118.1        1.32
     10 /      48       2           rand   reverse_back      403790      301458         276         260       156.7       116.7        1.34
     10 /      48       2           rand         sorted     2431892     1682377          47          47      1004.7       675.0        1.49
     10 /      48       2           rand reverse_sorted     2132101     1497779          47          47       867.5       599.8        1.45
     10 /      48       2           rand         dither      415914      322835         265         241       161.6       125.0        1.29
     10 /      48       2        stagger          ident      496592      521272         175         124       193.0       202.8        0.95
     10 /      48       2        stagger        reverse      518079      495487         140         124       201.6       192.7        1.05
     10 /      48       2        stagger  reverse_front      479639      467151         178         131       186.8       182.2        1.03
     10 /      48       2        stagger   reverse_back      546594      436877         136         154       212.6       169.6        1.25
     10 /      48       2        stagger         sorted     2406991     1680357          47          47       986.4       675.8        1.46
     10 /      48       2        stagger reverse_sorted      684277      341603         258         285       267.1       132.3        2.02
     10 /      48       2        stagger         dither      431513      319086         250         251       167.8       123.7        1.36
