 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         5.9         5.5        1.08
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         6.2         6.3        0.98
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         6.0         6.3        0.95
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         6.1         6.4        0.95
10000000 / 1095696       0        strings         sorted          16          15     1095695     1095695       154.0       136.8        1.13
10000000 / 1095696       0        strings reverse_sorted           3           2     7980429     9015072        18.2        15.9        1.14
     10 /      48       2       sawtooth          ident      537547      387838         186         182       215.4       153.1        1.41
     10 /      48       2       sawtooth        reverse      486596      371482         206         201       193.4       146.2        1.32
     10 /      48       2       sawtooth  reverse_front      518106      378967         196         192       207.8       149.5        1.39
     10 /      48       2       sawtooth   reverse_back      502222      355351         196         191       199.7       139.7        1.43
     10 /      48       2       sawtooth         sorted     1422062     1448375          47          47       609.4       617.6        0.99
     10 /      48       2       sawtooth reverse_sorted     1317151      921391          49          71       556.5       381.4        1.46
     10 /      48       2       sawtooth         dither      536699      395524         186         182       213.9       156.4        1.37
     10 /      48       2           rand          ident      393998      311600         281         279       156.1       122.3        1.28
     10 /      48       2           rand        reverse      420772      344324         252         236       166.3       135.3        1.23
     10 /      48       2           rand  reverse_front      407578      314147         267         277       161.4       123.5        1.31
     10 /      48       2           rand   reverse_back      406626      313347         266         268       160.7       123.0        1.31
     10 /      48       2           rand         sorted     1704611     1464891          47          47       744.1       629.0        1.18
     10 /      48       2           rand reverse_sorted     1454579     1320003          47          47       620.6       557.0        1.11
     10 /      48       2           rand         dither      423227      327510         250         237       167.5       129.0        1.30
     10 /      48       2        stagger          ident      585599      614545         175         124       234.1       246.1        0.95
     10 /      48       2        stagger        reverse      631102      564745         140         124       253.7       225.8        1.12
     10 /      48       2        stagger  reverse_front      551653      562179         178         131       221.5       225.2        0.98
     10 /      48       2        stagger   reverse_back      666338      489151         136         154       267.9       194.2        1.38
     10 /      48       2        stagger         sorted     1662315     1487420          47          47       720.4       636.6        1.13
     10 /      48       2        stagger reverse_sorted      430836      321026         258         285       170.5       125.9        1.35
     10 /      48       2        stagger         dither      422335      329941         250         251       166.7       130.1        1.28
     10 /      48       2        plateau          ident     1655151     1486389          47          47       717.6       642.0        1.12
     10 /      48       2        plateau        reverse     1395270      746883          49         107       592.7       302.5        1.96
     10 /      48       2        plateau  reverse_front     1402825      717070          49         101       598.1       289.9        2.06
     10 /      48       2        plateau   reverse_back     1660124     1152705          47          47       720.4       484.1        1.49
     10 /      48       2        plateau         sorted     1683593     1465309          47          47       734.1       625.9        1.17
     10 /      48       2        plateau reverse_sorted     1422464      749741          49         107       605.3       302.8        2.00
