 decade /    size       m        pattern        variant    new-runs    std-runs new-cmp-cnt std-cmp-cnt   new-M/sec   std-M/sec     new/std
10000000 / 1095696       0        strings          ident           1           1    21437766    22091431         3.1         3.0        1.01
10000000 / 1095696       0        strings        reverse           1           1    21424871    21963570         3.1         3.1        1.01
10000000 / 1095696       0        strings  reverse_front           1           1    21433651    22252152         3.2         3.1        1.03
10000000 / 1095696       0        strings   reverse_back           1           1    21428986    21661839         3.2         3.1        1.03
10000000 / 1095696       0        strings         sorted           7           7     1095695     1095695        58.8        60.4        0.97
10000000 / 1095696       0        strings reverse_sorted           1           1     7980429     9015072         8.6         7.9        1.09
     10 /      48       2       sawtooth          ident      310347      212999         186         182       122.8        83.4        1.47
     10 /      48       2       sawtooth        reverse      306884      217366         206         201       121.6        85.1        1.43
     10 /      48       2       sawtooth  reverse_front      305664      216804         196         192       120.7        84.9        1.42
     10 /      48       2       sawtooth   reverse_back      308010      223122         196         191       121.6        87.8        1.39
     10 /      48       2       sawtooth         sorted      822970      542753          47          47       343.3       219.6        1.56
     10 /      48       2       sawtooth reverse_sorted      642749      402298          49          71       263.2       160.4        1.64
     10 /      48       2       sawtooth         dither      308185      226285         186         182       121.9        88.9        1.37
     10 /      48       2           rand          ident      251329      185698         282         268        98.9        72.7        1.36
     10 /      48       2           rand        reverse      250279      183285         264         268        98.5        71.6        1.38
     10 /      48       2           rand  reverse_front      261895      184204         270         275       103.0        72.0        1.43
     10 /      48       2           rand   reverse_back      248183      191470         276         260        97.8        74.8        1.31
     10 /      48       2           rand         sorted      844109      542685          47          47       354.3       220.0        1.61
     10 /      48       2           rand reverse_sorted      789871      527788          47          47       329.2       213.6        1.54
     10 /      48       2           rand         dither      269720      190622         265         241       106.1        74.4        1.43
     10 /      48       2        stagger          ident      306999      286852         175         124       121.6       113.4        1.07
     10 /      48       2        stagger        reverse      308881      275884         140         124       122.2       108.6        1.13
     10 /      48       2        stagger  reverse_front      282790      214161         178         131       111.4        83.9        1.33
     10 /      48       2        stagger   reverse_back      327399      231003         136         154       130.3        90.7        1.44
     10 /      48       2        stagger         sorted      836391      548146          47          47       349.6       221.4        1.58
     10 /      48       2        stagger reverse_sorted      339685      194620         258         285       134.4        76.2        1.76
     10 /      48       2        stagger         dither      280667      193912         250         251       110.6        76.0        1.45
     10 /      48       2        plateau          ident      792021      552207          47          47       327.3       223.1        1.47
     10 /      48       2        plateau        reverse      679757      335345          49         107       279.5       133.2        2.10
     10 /      48       2        plateau  reverse_front      649169      309334          49         101       265.9       122.5        2.17
     10 /      48       2        plateau   reverse_back      853330      546496          47          47       357.5       221.4        1.61
     10 /      48       2        plateau         sorted      824179      530341          47          47       344.8       214.9        1.60
     10 /      48       2        plateau reverse_sorted      661862      337752          49         107       269.9       133.8        2.02
     10 /      48       2        plateau         dither      776984      556968          47          47       321.2       225.4        1.43
     10 /      48       2        shuffle          ident      354797      252706         152         146       141.3        99.2        1.42
     10 /      48       2        shuffle        reverse      292313      189675         278         262       115.5        74.1        1.56
     10 /      48       2        shuffle  reverse_front      316115      216120         238         216       125.0        84.7        1.48
     10 /      48       2        shuffle   reverse_back      322100      216090         191         191       127.7        84.6        1.51
     10 /      48       2        shuffle         sorted      820716      531023          47          47       343.8       214.8        1.60
     10 /      48       2        shuffle reverse_sorted      331708      203551         273         293       131.3        79.6        1.65
     10 /      48       2        shuffle         dither      277287      186009         264         256       109.5        72.6        1.51
     10 /      96       4       sawtooth          ident      120856      103124         506         537        94.1        80.0        1.18
     10 /      96       4       sawtooth        reverse      133039       99436         602         560       103.6        77.5        1.34
     10 /      96       4       sawtooth  reverse_front      132235      103160         554         544       103.0        80.3        1.28
     10 /      96       4       sawtooth   reverse_back      133823      101495         554         553       104.3        78.9        1.32
     10 /      96       4       sawtooth         sorted      755827      488860          95          95       630.6       396.6        1.59
